date,domain,metric,value,orders
2025-03-15,E-commerce,Daily Revenue,4534,84
2025-03-16,E-commerce,Daily Revenue,4332,82
2025-03-17,E-commerce,Daily Revenue,5051,53
2025-03-18,E-commerce,Daily Revenue,5027,101
2025-03-19,E-commerce,Daily Revenue,5343,55
2025-03-20,E-commerce,Daily Revenue,4891,69
2025-03-21,E-commerce,Daily Revenue,4750,70
2025-03-22,E-commerce,Daily Revenue,4163,59
2025-03-23,E-commerce,Daily Revenue,4269,64
2025-03-24,E-commerce,Daily Revenue,4700,64
2025-03-25,E-commerce,Daily Revenue,4630,71
2025-03-26,E-commerce,Daily Revenue,4781,77
2025-03-27,E-commerce,Daily Revenue,4830,52
2025-03-28,E-commerce,Daily Revenue,5370,76
2025-03-29,E-commerce,Daily Revenue,4287,68
2025-03-30,E-commerce,Daily Revenue,4309,65
2025-03-31,E-commerce,Daily Revenue,5307,104
2025-04-01,E-commerce,Daily Revenue,5574,83
2025-04-02,E-commerce,Daily Revenue,4530,89
2025-04-03,E-commerce,Daily Revenue,5051,52
2025-04-04,E-commerce,Daily Revenue,5188,71
2025-04-05,E-commerce,Daily Revenue,4326,83
2025-04-06,E-commerce,Daily Revenue,4566,51
2025-04-07,E-commerce,Daily Revenue,4747,77
2025-04-08,E-commerce,Daily Revenue,5459,96
2025-04-09,E-commerce,Daily Revenue,5143,70
2025-04-10,E-commerce,Daily Revenue,4910,58
2025-04-11,E-commerce,Daily Revenue,4647,49
2025-04-12,E-commerce,Daily Revenue,4188,56
2025-04-13,E-commerce,Daily Revenue,4010,56
2025-04-14,E-commerce,Daily Revenue,4948,51
2025-04-15,E-commerce,Daily Revenue,5418,80
2025-04-16,E-commerce,Daily Revenue,5159,77
2025-04-17,E-commerce,Daily Revenue,4682,88
2025-04-18,E-commerce,Daily Revenue,4478,64
2025-04-19,E-commerce,Daily Revenue,4030,53
2025-04-20,E-commerce,Daily Revenue,3894,65
2025-04-21,E-commerce,Daily Revenue,4664,66
2025-04-22,E-commerce,Daily Revenue,5385,60
2025-04-23,E-commerce,Daily Revenue,5033,57
2025-04-24,E-commerce,Daily Revenue,4992,82
2025-04-25,E-commerce,Daily Revenue,5194,87
2025-04-26,E-commerce,Daily Revenue,4022,66
2025-04-27,E-commerce,Daily Revenue,4066,51
2025-04-28,E-commerce,Daily Revenue,5290,68
2025-04-29,E-commerce,Daily Revenue,4991,86
2025-04-30,E-commerce,Daily Revenue,4879,55
2025-05-01,E-commerce,Daily Revenue,4784,48
2025-05-02,E-commerce,Daily Revenue,5256,72
2025-05-03,E-commerce,Daily Revenue,4094,72
2025-05-04,E-commerce,Daily Revenue,4470,55
2025-05-05,E-commerce,Daily Revenue,4702,77
2025-05-06,E-commerce,Daily Revenue,5026,73
2025-05-07,E-commerce,Daily Revenue,5083,51
2025-05-08,E-commerce,Daily Revenue,4953,97
2025-05-09,E-commerce,Daily Revenue,4670,83
2025-05-10,E-commerce,Daily Revenue,4411,77
2025-05-11,E-commerce,Daily Revenue,4148,65
2025-05-12,E-commerce,Daily Revenue,4767,49
2025-05-13,E-commerce,Daily Revenue,4668,54
2025-05-14,E-commerce,Daily Revenue,5415,62
2025-05-15,E-commerce,Daily Revenue,4702,76
2025-05-16,E-commerce,Daily Revenue,4968,99
2025-05-17,E-commerce,Daily Revenue,4414,87
2025-05-18,E-commerce,Daily Revenue,4079,77
2025-05-19,E-commerce,Daily Revenue,4912,52
2025-05-20,E-commerce,Daily Revenue,4836,85
2025-05-21,E-commerce,Daily Revenue,4931,78
2025-05-22,E-commerce,Daily Revenue,4787,81
2025-05-23,E-commerce,Daily Revenue,5181,102
2025-05-24,E-commerce,Daily Revenue,4204,44
2025-05-25,E-commerce,Daily Revenue,3808,54
2025-05-26,E-commerce,Daily Revenue,5206,68
2025-05-27,E-commerce,Daily Revenue,4914,61
2025-05-28,E-commerce,Daily Revenue,4691,54
2025-05-29,E-commerce,Daily Revenue,5284,84
2025-05-30,E-commerce,Daily Revenue,5143,66
