date,domain,metric,value,avg_wait_time_mins
2025-03-15,Healthcare,Bed Occupancy,317,83
2025-03-16,Healthcare,Bed Occupancy,285,63
2025-03-17,Healthcare,Bed Occupancy,288,70
2025-03-18,Healthcare,Bed Occupancy,316,77
2025-03-19,Healthcare,Bed Occupancy,290,66
2025-03-20,Healthcare,Bed Occupancy,291,62
2025-03-21,Healthcare,Bed Occupancy,313,69
2025-03-22,Healthcare,Bed Occupancy,320,70
2025-03-23,Healthcare,Bed Occupancy,320,70
2025-03-24,Healthcare,Bed Occupancy,288,61
2025-03-25,Healthcare,Bed Occupancy,299,66
2025-03-26,Healthcare,Bed Occupancy,319,71
2025-03-27,Healthcare,Bed Occupancy,309,77
2025-03-28,Healthcare,Bed Occupancy,287,75
2025-03-29,Healthcare,Bed Occupancy,290,63
2025-03-30,Healthcare,Bed Occupancy,313,83
2025-03-31,Healthcare,Bed Occupancy,287,59
2025-04-01,Healthcare,Bed Occupancy,309,67
2025-04-02,Healthcare,Bed Occupancy,303,66
2025-04-03,Healthcare,Bed Occupancy,305,71
2025-04-04,Healthcare,Bed Occupancy,299,63
2025-04-05,Healthcare,Bed Occupancy,318,82
2025-04-06,Healthcare,Bed Occupancy,283,63
2025-04-07,Healthcare,Bed Occupancy,318,66
2025-04-08,Healthcare,Bed Occupancy,282,73
2025-04-09,Healthcare,Bed Occupancy,288,65
2025-04-10,Healthcare,Bed Occupancy,315,70
2025-04-11,Healthcare,Bed Occupancy,297,77
2025-04-12,Healthcare,Bed Occupancy,293,73
2025-04-13,Healthcare,Bed Occupancy,304,69
2025-04-14,Healthcare,Bed Occupancy,291,67
2025-04-15,Healthcare,Bed Occupancy,290,62
2025-04-16,Healthcare,Bed Occupancy,312,67
2025-04-17,Healthcare,Bed Occupancy,303,76
2025-04-18,Healthcare,Bed Occupancy,320,77
2025-04-19,Healthcare,Bed Occupancy,316,70
2025-04-20,Healthcare,Bed Occupancy,311,72
2025-04-21,Healthcare,Bed Occupancy,297,75
2025-04-22,Healthcare,Bed Occupancy,285,58
2025-04-23,Healthcare,Bed Occupancy,290,76
2025-04-24,Healthcare,Bed Occupancy,280,77
2025-04-25,Healthcare,Bed Occupancy,287,69
2025-04-26,Healthcare,Bed Occupancy,294,81
2025-04-27,Healthcare,Bed Occupancy,299,72
2025-04-28,Healthcare,Bed Occupancy,314,69
2025-04-29,Healthcare,Bed Occupancy,315,80
2025-04-30,Healthcare,Bed Occupancy,316,75
2025-05-01,Healthcare,Bed Occupancy,290,74
2025-05-02,Healthcare,Bed Occupancy,313,82
2025-05-03,Healthcare,Bed Occupancy,294,79
2025-05-04,Healthcare,Bed Occupancy,290,66
2025-05-05,Healthcare,Bed Occupancy,314,74
2025-05-06,Healthcare,Bed Occupancy,301,75
2025-05-07,Healthcare,Bed Occupancy,282,74
2025-05-08,Healthcare,Bed Occupancy,316,79
2025-05-09,Healthcare,Bed Occupancy,291,62
2025-05-10,Healthcare,Bed Occupancy,290,79
2025-05-11,Healthcare,Bed Occupancy,307,79
2025-05-12,Healthcare,Bed Occupancy,281,68
2025-05-13,Healthcare,Bed Occupancy,284,74
2025-05-14,Healthcare,Bed Occupancy,313,78
2025-05-15,Healthcare,Bed Occupancy,315,81
2025-05-16,Healthcare,Bed Occupancy,312,70
2025-05-17,Healthcare,Bed Occupancy,291,73
2025-05-18,Healthcare,Bed Occupancy,282,72
2025-05-19,Healthcare,Bed Occupancy,293,69
2025-05-20,Healthcare,Bed Occupancy,292,71
2025-05-21,Healthcare,Bed Occupancy,309,72
2025-05-22,Healthcare,Bed Occupancy,293,71
2025-05-23,Healthcare,Bed Occupancy,281,74
2025-05-24,Healthcare,Bed Occupancy,283,58
2025-05-25,Healthcare,Bed Occupancy,290,60
2025-05-26,Healthcare,Bed Occupancy,316,74
2025-05-27,Healthcare,Bed Occupancy,304,65
2025-05-28,Healthcare,Bed Occupancy,315,70
2025-05-29,Healthcare,Bed Occupancy,311,72
2025-05-30,Healthcare,Bed Occupancy,320,68
2025-05-31,Healthcare,Bed Occupancy,297,74
2025-06-01,Healthcare,Bed Occupancy,316,80
2025-06-02,Healthcare,Bed Occupancy,302,76
2025-06-03,Healthcare,Bed Occupancy,293,76
2025-06-04,Healthcare,Bed Occupancy,295,70
2025-06-05,Healthcare,Bed Occupancy,291,66
2025-06-06,Healthcare,Bed Occupancy,312,72
2025-06-07,Healthcare,Bed Occupancy,287,71
2025-06-08,Healthcare,Bed Occupancy,307,69
2025-06-09,Healthcare,Bed Occupancy,292,72
2025-06-10,Healthcare,Bed Occupancy,306,78
2025-06-11,Healthcare,Bed Occupancy,299,71
2025-06-12,Healthcare,Bed Occupancy,315,75
2025-06-13,Healthcare,Bed Occupancy,302,82
2025-06-14,Healthcare,Bed Occupancy,305,75
2025-06-15,Healthcare,Bed Occupancy,299,76
2025-06-16,Healthcare,Bed Occupancy,304,74
2025-06-17,Healthcare,Bed Occupancy,289,76
2025-06-18,Healthcare,Bed Occupancy,289,78
2025-06-19,Healthcare,Bed Occupancy,296,75
2025-06-20,Healthcare,Bed Occupancy,287,65
2025-06-21,Healthcare,Bed Occupancy,315,78
2025-06-22,Healthcare,Bed Occupancy,310,83
2025-06-23,Healthcare,Bed Occupancy,310,69
2025-06-24,Healthcare,Bed Occupancy,313,79
2025-06-25,Healthcare,Bed Occupancy,282,61
2025-06-26,Healthcare,Bed Occupancy,315,83
2025-06-27,Healthcare,Bed Occupancy,307,72
2025-06-28,Healthcare,Bed Occupancy,303,68
2025-06-29,Healthcare,Bed Occupancy,281,64
