date,domain,metric,value,active_customers
2025-03-15,SaaS,MRR,100126,501
2025-03-16,SaaS,MRR,100229,501
2025-03-17,SaaS,MRR,100340,502
2025-03-18,SaaS,MRR,100538,503
2025-03-19,SaaS,MRR,100676,503
2025-03-20,SaaS,MRR,100941,505
2025-03-21,SaaS,MRR,101229,506
2025-03-22,SaaS,MRR,101369,507
2025-03-23,SaaS,MRR,101662,508
2025-03-24,SaaS,MRR,101933,510
2025-03-25,SaaS,MRR,102175,511
2025-03-26,SaaS,MRR,102333,512
2025-03-27,SaaS,MRR,102486,512
2025-03-28,SaaS,MRR,103875,519
2025-03-29,SaaS,MRR,105591,528
2025-03-30,SaaS,MRR,106391,532
2025-03-31,SaaS,MRR,107078,535
2025-04-01,SaaS,MRR,107190,536
2025-04-02,SaaS,MRR,107377,537
2025-04-03,SaaS,MRR,107559,538
2025-04-04,SaaS,MRR,107744,539
2025-04-05,SaaS,MRR,107844,539
2025-04-06,SaaS,MRR,107948,540
2025-04-07,SaaS,MRR,108097,540
2025-04-08,SaaS,MRR,108284,541
2025-04-09,SaaS,MRR,108499,542
2025-04-10,SaaS,MRR,108754,544
2025-04-11,SaaS,MRR,108882,544
2025-04-12,SaaS,MRR,109034,545
2025-04-13,SaaS,MRR,109289,546
2025-04-14,SaaS,MRR,109415,547
2025-04-15,SaaS,MRR,109617,548
2025-04-16,SaaS,MRR,109731,549
2025-04-17,SaaS,MRR,109902,550
2025-04-18,SaaS,MRR,110086,550
2025-04-19,SaaS,MRR,110244,551
2025-04-20,SaaS,MRR,110420,552
2025-04-21,SaaS,MRR,110699,553
2025-04-22,SaaS,MRR,110890,554
2025-04-23,SaaS,MRR,111048,555
2025-04-24,SaaS,MRR,111280,556
2025-04-25,SaaS,MRR,111405,557
2025-04-26,SaaS,MRR,111523,558
2025-04-27,SaaS,MRR,111773,559
2025-04-28,SaaS,MRR,113273,566
2025-04-29,SaaS,MRR,114342,572
2025-04-30,SaaS,MRR,115901,580
2025-05-01,SaaS,MRR,116172,581
2025-05-02,SaaS,MRR,116296,581
2025-05-03,SaaS,MRR,116559,583
2025-05-04,SaaS,MRR,116663,583
2025-05-05,SaaS,MRR,116811,584
2025-05-06,SaaS,MRR,117013,585
2025-05-07,SaaS,MRR,117254,586
2025-05-08,SaaS,MRR,117493,587
2025-05-09,SaaS,MRR,117696,588
2025-05-10,SaaS,MRR,117888,589
2025-05-11,SaaS,MRR,117999,590
2025-05-12,SaaS,MRR,118107,591
2025-05-13,SaaS,MRR,118333,592
2025-05-14,SaaS,MRR,118566,593
2025-05-15,SaaS,MRR,118774,594
2025-05-16,SaaS,MRR,118955,595
2025-05-17,SaaS,MRR,119204,596
2025-05-18,SaaS,MRR,119352,597
2025-05-19,SaaS,MRR,119572,598
2025-05-20,SaaS,MRR,119813,599
2025-05-21,SaaS,MRR,119987,600
2025-05-22,SaaS,MRR,120153,601
2025-05-23,SaaS,MRR,120347,602
2025-05-24,SaaS,MRR,120486,602
2025-05-25,SaaS,MRR,120673,603
2025-05-26,SaaS,MRR,120837,604
2025-05-27,SaaS,MRR,121120,606
2025-05-28,SaaS,MRR,121868,609
2025-05-29,SaaS,MRR,122502,613
2025-05-30,SaaS,MRR,123385,617
2025-05-31,SaaS,MRR,124607,623
2025-06-01,SaaS,MRR,124840,624
2025-06-02,SaaS,MRR,124975,625
2025-06-03,SaaS,MRR,125096,625
2025-06-04,SaaS,MRR,125232,626
2025-06-05,SaaS,MRR,125470,627
2025-06-06,SaaS,MRR,125746,629
2025-06-07,SaaS,MRR,125851,629
2025-06-08,SaaS,MRR,126067,630
2025-06-09,SaaS,MRR,126182,631
2025-06-10,SaaS,MRR,126371,632
2025-06-11,SaaS,MRR,126620,633
2025-06-12,SaaS,MRR,126723,634
2025-06-13,SaaS,MRR,127004,635
2025-06-14,SaaS,MRR,127255,636
2025-06-15,SaaS,MRR,127533,638
2025-06-16,SaaS,MRR,127662,638
2025-06-17,SaaS,MRR,127934,640
2025-06-18,SaaS,MRR,128074,640
2025-06-19,SaaS,MRR,128204,641
2025-06-20,SaaS,MRR,128439,642
2025-06-21,SaaS,MRR,128539,643
2025-06-22,SaaS,MRR,128721,644
2025-06-23,SaaS,MRR,129007,645
2025-06-24,SaaS,MRR,129148,646
2025-06-25,SaaS,MRR,129312,647
2025-06-26,SaaS,MRR,129479,647
2025-06-27,SaaS,MRR,129666,648
2025-06-28,SaaS,MRR,130834,654
2025-06-29,SaaS,MRR,131925,660
2025-06-30,SaaS,MRR,133476,667
