ship_id,order_id,carrier,tracking
SHIP-1,ORD-1,DHL,TRK1XYZ
SHIP-2,ORD-2,FedEx,TRK2XYZ
SHIP-3,ORD-3,FedEx,TRK3XYZ
SHIP-4,ORD-4,FedEx,TRK4XYZ
SHIP-5,ORD-5,DHL,TRK5XYZ
SHIP-6,ORD-6,DHL,TRK6XYZ
SHIP-7,ORD-7,UPS,TRK7XYZ
SHIP-8,ORD-8,DHL,TRK8XYZ
SHIP-9,ORD-9,FedEx,TRK9XYZ
SHIP-10,ORD-10,DHL,TRK10XYZ
SHIP-11,ORD-11,DHL,TRK11XYZ
SHIP-12,ORD-12,UPS,TRK12XYZ
SHIP-13,ORD-13,DHL,TRK13XYZ
SHIP-14,ORD-14,UPS,TRK14XYZ
SHIP-15,ORD-15,UPS,TRK15XYZ
SHIP-16,ORD-16,DHL,TRK16XYZ
SHIP-17,ORD-17,DHL,TRK17XYZ
SHIP-18,ORD-18,DHL,TRK18XYZ
SHIP-19,ORD-19,UPS,TRK19XYZ
SHIP-20,ORD-20,UPS,TRK20XYZ
SHIP-21,ORD-21,DHL,TRK21XYZ
SHIP-22,ORD-22,FedEx,TRK22XYZ
SHIP-23,ORD-23,UPS,TRK23XYZ
SHIP-24,ORD-24,UPS,TRK24XYZ
SHIP-25,ORD-25,DHL,TRK25XYZ
SHIP-26,ORD-26,UPS,TRK26XYZ
SHIP-27,ORD-27,FedEx,TRK27XYZ
SHIP-28,ORD-28,DHL,TRK28XYZ
SHIP-29,ORD-29,FedEx,TRK29XYZ
SHIP-30,ORD-30,FedEx,TRK30XYZ
SHIP-31,ORD-31,DHL,TRK31XYZ
SHIP-32,ORD-32,FedEx,TRK32XYZ
SHIP-33,ORD-33,UPS,TRK33XYZ
SHIP-34,ORD-34,DHL,TRK34XYZ
SHIP-35,ORD-35,DHL,TRK35XYZ
SHIP-36,ORD-36,UPS,TRK36XYZ
SHIP-37,ORD-37,DHL,TRK37XYZ
SHIP-38,ORD-38,FedEx,TRK38XYZ
SHIP-39,ORD-39,UPS,TRK39XYZ
SHIP-40,ORD-40,UPS,TRK40XYZ
SHIP-41,ORD-41,FedEx,TRK41XYZ
SHIP-42,ORD-42,FedEx,TRK42XYZ
SHIP-43,ORD-43,FedEx,TRK43XYZ
SHIP-44,ORD-44,UPS,TRK44XYZ
SHIP-45,ORD-45,DHL,TRK45XYZ
SHIP-46,ORD-46,DHL,TRK46XYZ
SHIP-47,ORD-47,FedEx,TRK47XYZ
SHIP-48,ORD-48,DHL,TRK48XYZ
SHIP-49,ORD-49,DHL,TRK49XYZ
SHIP-50,ORD-50,FedEx,TRK50XYZ
