id,student_id,score
ASMT-1,STU-1,3
ASMT-2,STU-2,38
ASMT-3,STU-3,32
ASMT-4,STU-4,50
ASMT-5,STU-5,19
ASMT-6,STU-6,3
ASMT-7,STU-7,28
ASMT-8,STU-8,84
ASMT-9,STU-9,80
ASMT-10,STU-10,90
ASMT-11,STU-11,45
ASMT-12,STU-12,8
ASMT-13,STU-13,74
ASMT-14,STU-14,69
ASMT-15,STU-15,80
ASMT-16,STU-16,44
ASMT-17,STU-17,12
ASMT-18,STU-18,44
ASMT-19,STU-19,86
ASMT-20,STU-20,60
ASMT-21,STU-21,37
ASMT-22,STU-22,76
ASMT-23,STU-23,33
ASMT-24,STU-24,29
ASMT-25,STU-25,73
ASMT-26,STU-26,87
ASMT-27,STU-27,91
ASMT-28,STU-28,91
ASMT-29,STU-29,75
ASMT-30,STU-30,38
ASMT-31,STU-31,0
ASMT-32,STU-32,41
ASMT-33,STU-33,96
ASMT-34,STU-34,62
ASMT-35,STU-35,48
ASMT-36,STU-36,66
ASMT-37,STU-37,73
ASMT-38,STU-38,11
ASMT-39,STU-39,13
ASMT-40,STU-40,63
ASMT-41,STU-41,61
ASMT-42,STU-42,70
ASMT-43,STU-43,1
ASMT-44,STU-44,57
ASMT-45,STU-45,2
ASMT-46,STU-46,25
ASMT-47,STU-47,80
ASMT-48,STU-48,0
ASMT-49,STU-49,95
ASMT-50,STU-50,35
