id,title,instructor
CRS-1,Course 1,Prof. 1
CRS-2,Course 2,Prof. 2
CRS-3,Course 3,Prof. 3
CRS-4,Course 4,Prof. 4
CRS-5,Course 5,Prof. 5
CRS-6,Course 6,Prof. 6
CRS-7,Course 7,Prof. 7
CRS-8,Course 8,Prof. 8
CRS-9,Course 9,Prof. 9
CRS-10,Course 10,Prof. 0
CRS-11,Course 11,Prof. 1
CRS-12,Course 12,Prof. 2
CRS-13,Course 13,Prof. 3
CRS-14,Course 14,Prof. 4
CRS-15,Course 15,Prof. 5
CRS-16,Course 16,Prof. 6
CRS-17,Course 17,Prof. 7
CRS-18,Course 18,Prof. 8
CRS-19,Course 19,Prof. 9
CRS-20,Course 20,Prof. 0
CRS-21,Course 21,Prof. 1
CRS-22,Course 22,Prof. 2
CRS-23,Course 23,Prof. 3
CRS-24,Course 24,Prof. 4
CRS-25,Course 25,Prof. 5
CRS-26,Course 26,Prof. 6
CRS-27,Course 27,Prof. 7
CRS-28,Course 28,Prof. 8
CRS-29,Course 29,Prof. 9
CRS-30,Course 30,Prof. 0
CRS-31,Course 31,Prof. 1
CRS-32,Course 32,Prof. 2
CRS-33,Course 33,Prof. 3
CRS-34,Course 34,Prof. 4
CRS-35,Course 35,Prof. 5
CRS-36,Course 36,Prof. 6
CRS-37,Course 37,Prof. 7
CRS-38,Course 38,Prof. 8
CRS-39,Course 39,Prof. 9
CRS-40,Course 40,Prof. 0
CRS-41,Course 41,Prof. 1
CRS-42,Course 42,Prof. 2
CRS-43,Course 43,Prof. 3
CRS-44,Course 44,Prof. 4
CRS-45,Course 45,Prof. 5
CRS-46,Course 46,Prof. 6
CRS-47,Course 47,Prof. 7
CRS-48,Course 48,Prof. 8
CRS-49,Course 49,Prof. 9
CRS-50,Course 50,Prof. 0
