id,student_id,minutes
ACT-1,STU-1,16
ACT-2,STU-2,5
ACT-3,STU-3,35
ACT-4,STU-4,73
ACT-5,STU-5,28
ACT-6,STU-6,24
ACT-7,STU-7,17
ACT-8,STU-8,18
ACT-9,STU-9,89
ACT-10,STU-10,60
ACT-11,STU-11,24
ACT-12,STU-12,37
ACT-13,STU-13,91
ACT-14,STU-14,111
ACT-15,STU-15,119
ACT-16,STU-16,64
ACT-17,STU-17,39
ACT-18,STU-18,105
ACT-19,STU-19,59
ACT-20,STU-20,30
ACT-21,STU-21,37
ACT-22,STU-22,29
ACT-23,STU-23,40
ACT-24,STU-24,55
ACT-25,STU-25,20
ACT-26,STU-26,8
ACT-27,STU-27,42
ACT-28,STU-28,47
ACT-29,STU-29,62
ACT-30,STU-30,68
ACT-31,STU-31,20
ACT-32,STU-32,70
ACT-33,STU-33,54
ACT-34,STU-34,30
ACT-35,STU-35,91
ACT-36,STU-36,115
ACT-37,STU-37,79
ACT-38,STU-38,36
ACT-39,STU-39,118
ACT-40,STU-40,90
ACT-41,STU-41,108
ACT-42,STU-42,46
ACT-43,STU-43,13
ACT-44,STU-44,10
ACT-45,STU-45,69
ACT-46,STU-46,96
ACT-47,STU-47,30
ACT-48,STU-48,28
ACT-49,STU-49,34
ACT-50,STU-50,48
