ward_id,hospital_name,city,beds_total,beds_occupied,occupied_beds,available_beds,date
Ward-ICU,Apollo Hospitals,Mumbai,20,18,18,2,2024-01-02
Ward-A,Apollo Hospitals,Mumbai,50,42,42,8,2024-01-02
Ward-B,Apollo Hospitals,Mumbai,60,55,55,5,2024-01-02
Ward-C,Apollo Hospitals,Mumbai,40,38,38,2,2024-01-02
Ward-D,Apollo Hospitals,Mumbai,30,22,22,8,2024-01-02
Ward-ICU,Fortis,Bangalore,16,14,14,2,2024-01-03
Ward-A,Fortis,Bangalore,45,40,40,5,2024-01-03
Ward-B,Fortis,Bangalore,55,48,48,7,2024-01-03
Ward-C,Fortis,Bangalore,35,30,30,5,2024-01-03
Ward-ICU,Apollo Hospitals,Mumbai,20,19,19,1,2024-01-04
Ward-A,Apollo Hospitals,Mumbai,50,45,45,5,2024-01-04
Ward-B,Apollo Hospitals,Mumbai,60,57,57,3,2024-01-04
Ward-D,Apollo Hospitals,Mumbai,30,26,26,4,2024-01-04
Ward-ICU,Medanta,Delhi,24,20,20,4,2024-01-05
Ward-A,Medanta,Delhi,60,52,52,8,2024-01-05
Ward-B,Medanta,Delhi,70,65,65,5,2024-01-05
Ward-C,Medanta,Delhi,45,40,40,5,2024-01-05
Ward-ICU,Apollo Hospitals,Mumbai,20,17,17,3,2024-01-06
Ward-A,Apollo Hospitals,Mumbai,50,43,43,7,2024-01-06
Ward-B,Apollo Hospitals,Mumbai,60,52,52,8,2024-01-06
Ward-ICU,Fortis,Bangalore,16,15,15,1,2024-01-07
Ward-A,Fortis,Bangalore,45,41,41,4,2024-01-07
Ward-B,Fortis,Bangalore,55,50,50,5,2024-01-07
Ward-ICU,Medanta,Delhi,24,22,22,2,2024-01-08
Ward-A,Medanta,Delhi,60,55,55,5,2024-01-08
Ward-B,Medanta,Delhi,70,63,63,7,2024-01-08
Ward-ICU,Apollo Hospitals,Mumbai,20,18,18,2,2024-02-01
Ward-A,Apollo Hospitals,Mumbai,50,44,44,6,2024-02-01
Ward-B,Apollo Hospitals,Mumbai,60,56,56,4,2024-02-01
Ward-ICU,Fortis,Bangalore,16,13,13,3,2024-02-02
Ward-A,Fortis,Bangalore,45,38,38,7,2024-02-02
Ward-B,Fortis,Bangalore,55,47,47,8,2024-02-02
Ward-ICU,Medanta,Delhi,24,21,21,3,2024-02-03
Ward-A,Medanta,Delhi,60,53,53,7,2024-02-03
Ward-B,Medanta,Delhi,70,62,62,8,2024-02-03
