machine_id,machine_name,plant,running_time,available_time,scheduled_time,downtime,availability,performance,quality_ratio,oee,date
MCH-PRESS-01,Hydraulic Press 1,PLANT-PUNE,7.5,8,8,0.5,0.9375,0.92,0.969,0.836,2024-01-02
MCH-PRESS-02,Hydraulic Press 2,PLANT-PUNE,8,8,8,0,1.0,0.95,0.976,0.927,2024-01-02
MCH-WELD-01,Auto Welder 1,PLANT-PUNE,6.5,8,8,1.5,0.8125,0.88,0.9625,0.688,2024-01-02
MCH-PAINT-01,Paint Line 1,PLANT-NASHIK,8,8,8,0,1.0,0.94,0.97,0.912,2024-01-03
MCH-PRESS-01,Hydraulic Press 1,PLANT-PUNE,7.5,8,8,0.5,0.9375,0.91,0.9714,0.828,2024-01-03
MCH-ASSM-01,Assembly Bot 1,PLANT-NASHIK,8,8,8,0,1.0,0.97,0.98,0.951,2024-01-03
MCH-PRESS-02,Hydraulic Press 2,PLANT-PUNE,8,8,8,0,1.0,0.94,0.9706,0.914,2024-01-04
MCH-WELD-01,Auto Welder 1,PLANT-PUNE,6,8,8,2,0.75,0.87,0.9677,0.632,2024-01-04
MCH-PAINT-01,Paint Line 1,PLANT-NASHIK,8,8,8,0,1.0,0.95,0.9741,0.925,2024-01-05
MCH-ASSM-01,Assembly Bot 1,PLANT-NASHIK,7.75,8,8,0.25,0.9688,0.96,0.9762,0.908,2024-01-05
MCH-PRESS-01,Hydraulic Press 1,PLANT-PUNE,7,8,8,1,0.875,0.9,0.9681,0.762,2024-01-06
MCH-PRESS-02,Hydraulic Press 2,PLANT-PUNE,8,8,8,0,1.0,0.93,0.9758,0.908,2024-01-06
MCH-WELD-02,Auto Welder 2,PLANT-NASHIK,7.5,8,8,0.5,0.9375,0.89,0.9679,0.807,2024-01-07
MCH-PAINT-02,Paint Line 2,PLANT-NASHIK,8,8,8,0,1.0,0.96,0.9758,0.937,2024-01-07
MCH-ASSM-02,Assembly Bot 2,PLANT-NASHIK,8,8,8,0,1.0,0.97,0.9744,0.945,2024-01-08
MCH-PRESS-01,Hydraulic Press 1,PLANT-PUNE,8,8,8,0,1.0,0.93,0.9732,0.905,2024-01-09
MCH-WELD-01,Auto Welder 1,PLANT-PUNE,6.5,8,8,1.5,0.8125,0.88,0.9697,0.693,2024-01-09
MCH-PAINT-01,Paint Line 1,PLANT-NASHIK,8,8,8,0,1.0,0.95,0.977,0.928,2024-01-10
MCH-PRESS-02,Hydraulic Press 2,PLANT-PUNE,8,8,8,0,1.0,0.94,0.9743,0.916,2024-01-10
MCH-ASSM-01,Assembly Bot 1,PLANT-NASHIK,7.75,8,8,0.25,0.9688,0.96,0.9756,0.907,2024-01-11
MCH-PRESS-01,Hydraulic Press 1,PLANT-PUNE,7.5,8,8,0.5,0.9375,0.92,0.9755,0.842,2024-02-01
MCH-PRESS-02,Hydraulic Press 2,PLANT-PUNE,8,8,8,0,1.0,0.95,0.9748,0.926,2024-02-01
MCH-WELD-01,Auto Welder 1,PLANT-PUNE,7,8,8,1,0.875,0.89,0.9692,0.755,2024-02-02
MCH-PAINT-01,Paint Line 1,PLANT-NASHIK,8,8,8,0,1.0,0.94,0.9748,0.917,2024-02-02
MCH-ASSM-01,Assembly Bot 1,PLANT-NASHIK,8,8,8,0,1.0,0.97,0.9767,0.948,2024-02-03
MCH-PRESS-01,Hydraulic Press 1,PLANT-PUNE,7.5,8,8,0.5,0.9375,0.91,0.9737,0.831,2024-02-04
MCH-WELD-02,Auto Welder 2,PLANT-NASHIK,7.5,8,8,0.5,0.9375,0.9,0.969,0.818,2024-02-05
MCH-PAINT-02,Paint Line 2,PLANT-NASHIK,8,8,8,0,1.0,0.96,0.9746,0.936,2024-02-05
MCH-PRESS-02,Hydraulic Press 2,PLANT-PUNE,8,8,8,0,1.0,0.94,0.9744,0.916,2024-02-06
MCH-ASSM-02,Assembly Bot 2,PLANT-NASHIK,8,8,8,0,1.0,0.97,0.9747,0.946,2024-02-06
