batch_id,machine_id,shift,operator_id,units_produced,good_units,total_units,defects,scrap,material_used,downtime,unit_cost,date,product_code
BATCH-2401-001,MCH-PRESS-01,morning,OPR-001,480,465,480,15,12.5,520,0.5,285,2024-01-02,PROD-A
BATCH-2401-002,MCH-PRESS-02,morning,OPR-002,500,488,500,12,10.8,540,0,278,2024-01-02,PROD-B
BATCH-2401-003,MCH-WELD-01,afternoon,OPR-003,320,308,320,12,8.2,345,1.5,310,2024-01-02,PROD-C
BATCH-2401-004,MCH-PAINT-01,afternoon,OPR-004,600,582,600,18,9.6,625,0,195,2024-01-03,PROD-A
BATCH-2401-005,MCH-PRESS-01,morning,OPR-001,490,476,490,14,11.8,528,0.5,285,2024-01-03,PROD-B
BATCH-2401-006,MCH-ASSM-01,night,OPR-005,200,196,200,4,2.1,215,0,520,2024-01-03,PROD-D
BATCH-2401-007,MCH-PRESS-02,morning,OPR-002,510,495,510,15,12.0,550,0,278,2024-01-04,PROD-A
BATCH-2401-008,MCH-WELD-01,afternoon,OPR-003,310,300,310,10,7.5,335,2,310,2024-01-04,PROD-C
BATCH-2401-009,MCH-PAINT-01,morning,OPR-004,580,565,580,15,8.2,602,0,195,2024-01-05,PROD-B
BATCH-2401-010,MCH-ASSM-01,night,OPR-005,210,205,210,5,2.4,227,0.25,520,2024-01-05,PROD-D
BATCH-2401-011,MCH-PRESS-01,morning,OPR-006,470,455,470,15,11.2,510,1,285,2024-01-06,PROD-A
BATCH-2401-012,MCH-PRESS-02,afternoon,OPR-002,495,483,495,12,10.2,535,0,278,2024-01-06,PROD-B
BATCH-2401-013,MCH-WELD-02,morning,OPR-007,280,271,280,9,6.8,302,0.5,315,2024-01-07,PROD-C
BATCH-2401-014,MCH-PAINT-02,afternoon,OPR-008,620,605,620,15,8.8,645,0,192,2024-01-07,PROD-A
BATCH-2401-015,MCH-ASSM-02,night,OPR-009,195,190,195,5,2.0,211,0,525,2024-01-08,PROD-D
BATCH-2401-016,MCH-PRESS-01,morning,OPR-001,485,472,485,13,11.5,522,0,285,2024-01-09,PROD-B
BATCH-2401-017,MCH-WELD-01,afternoon,OPR-003,330,320,330,10,8.0,355,1.5,310,2024-01-09,PROD-C
BATCH-2401-018,MCH-PAINT-01,morning,OPR-004,610,596,610,14,8.5,632,0,195,2024-01-10,PROD-A
BATCH-2401-019,MCH-PRESS-02,afternoon,OPR-002,505,492,505,13,11.0,545,0,278,2024-01-10,PROD-B
BATCH-2401-020,MCH-ASSM-01,night,OPR-005,205,200,205,5,2.2,222,0.25,520,2024-01-11,PROD-D
BATCH-2402-001,MCH-PRESS-01,morning,OPR-001,490,478,490,12,11.2,529,0,285,2024-02-01,PROD-A
BATCH-2402-002,MCH-PRESS-02,morning,OPR-002,515,502,515,13,11.5,556,0,278,2024-02-01,PROD-B
BATCH-2402-003,MCH-WELD-01,afternoon,OPR-003,325,315,325,10,7.8,350,1,310,2024-02-02,PROD-C
BATCH-2402-004,MCH-PAINT-01,morning,OPR-004,595,580,595,15,8.4,618,0,195,2024-02-02,PROD-A
BATCH-2402-005,MCH-ASSM-01,night,OPR-005,215,210,215,5,2.3,232,0,520,2024-02-03,PROD-D
BATCH-2402-006,MCH-PRESS-01,morning,OPR-006,475,462,475,13,11.0,513,0.5,285,2024-02-04,PROD-B
BATCH-2402-007,MCH-WELD-02,afternoon,OPR-007,290,281,290,9,7.0,313,0.5,315,2024-02-05,PROD-C
BATCH-2402-008,MCH-PAINT-02,morning,OPR-008,630,614,630,16,9.2,655,0,192,2024-02-05,PROD-A
BATCH-2402-009,MCH-PRESS-02,afternoon,OPR-002,508,495,508,13,11.2,549,0,278,2024-02-06,PROD-B
BATCH-2402-010,MCH-ASSM-02,night,OPR-009,198,193,198,5,2.0,214,0,525,2024-02-06,PROD-D
