sku,barcode,category,store_id,stock_qty,quantity_on_hand,received_units,sold_units,shrinkage,inventory_value,reorder_level,date
SKU-ELECT-001,8901234567890,Electronics,STORE-BLR-01,45,45,60,15,0,1440000,10,2024-01-02
SKU-APRL-002,8901234567891,Apparel,STORE-BLR-01,120,120,150,30,2,252000,20,2024-01-02
SKU-GROC-003,8901234567892,Groceries,STORE-MUM-02,300,300,400,98,2,180000,50,2024-01-03
SKU-ELECT-004,8901234567893,Electronics,STORE-MUM-02,28,28,35,7,0,252000,5,2024-01-03
SKU-APRL-005,8901234567894,Apparel,STORE-DEL-03,85,85,100,15,1,119000,15,2024-01-04
SKU-GROC-006,8901234567895,Groceries,STORE-DEL-03,220,220,280,58,2,132000,40,2024-01-04
SKU-HOME-007,8901234567896,Home & Kitchen,STORE-CHN-04,60,60,75,14,1,126000,10,2024-01-05
SKU-ELECT-008,8901234567897,Electronics,STORE-CHN-04,15,15,20,5,0,300000,3,2024-01-05
SKU-GROC-009,8901234567898,Groceries,STORE-HYD-05,180,180,240,58,4,108000,30,2024-01-06
SKU-APRL-010,8901234567899,Apparel,STORE-HYD-05,95,95,120,24,1,133000,15,2024-01-06
SKU-HOME-011,8901234500001,Home & Kitchen,STORE-BLR-01,40,40,50,10,0,176000,8,2024-01-07
SKU-GROC-012,8901234500002,Groceries,STORE-BLR-01,260,260,330,68,2,156000,40,2024-01-07
SKU-ELECT-013,8901234500003,Electronics,STORE-MUM-02,22,22,30,8,0,143000,5,2024-01-08
SKU-APRL-014,8901234500004,Apparel,STORE-MUM-02,110,110,140,28,2,154000,20,2024-01-08
SKU-HOME-015,8901234500005,Home & Kitchen,STORE-DEL-03,55,55,70,14,1,181500,10,2024-01-09
SKU-GROC-016,8901234500006,Groceries,STORE-DEL-03,200,200,260,58,2,120000,35,2024-01-09
SKU-APRL-017,8901234500007,Apparel,STORE-CHN-04,75,75,95,19,1,135000,12,2024-01-10
SKU-ELECT-018,8901234500008,Electronics,STORE-CHN-04,10,10,14,4,0,400000,2,2024-01-10
SKU-HOME-019,8901234500009,Home & Kitchen,STORE-HYD-05,48,48,60,12,0,67200,8,2024-01-11
SKU-GROC-020,8901234500010,Groceries,STORE-HYD-05,340,340,420,78,2,204000,55,2024-01-11
SKU-ELECT-021,8901234500011,Electronics,STORE-BLR-01,35,35,45,10,0,455000,8,2024-01-12
SKU-APRL-022,8901234500012,Apparel,STORE-BLR-01,100,100,125,25,1,210000,18,2024-01-12
SKU-GROC-023,8901234500013,Groceries,STORE-MUM-02,280,280,360,78,2,168000,45,2024-01-13
SKU-HOME-024,8901234500014,Home & Kitchen,STORE-MUM-02,50,50,65,14,1,190000,10,2024-01-13
SKU-ELECT-025,8901234500015,Electronics,STORE-DEL-03,20,20,28,8,0,220000,4,2024-01-14
SKU-APRL-026,8901234500016,Apparel,STORE-DEL-03,130,130,160,28,2,247000,22,2024-01-14
SKU-GROC-027,8901234500017,Groceries,STORE-CHN-04,420,420,520,96,4,252000,70,2024-01-15
SKU-HOME-028,8901234500018,Home & Kitchen,STORE-CHN-04,38,38,48,10,0,117800,6,2024-01-15
SKU-ELECT-029,8901234500019,Electronics,STORE-HYD-05,18,18,25,7,0,468000,4,2024-01-16
SKU-APRL-030,8901234500020,Apparel,STORE-HYD-05,88,88,112,23,1,290400,15,2024-01-16
