transaction_id,store_id,sku,barcode,category,quantity,sales,cogs,discount,mrp,tax,date
TXN-10001,STORE-BLR-01,SKU-ELECT-001,8901234567890,Electronics,2,45000,32000,2000,47000,8100,2024-01-02
TXN-10002,STORE-BLR-01,SKU-APRL-002,8901234567891,Apparel,3,3600,2100,400,4000,648,2024-01-02
TXN-10003,STORE-MUM-02,SKU-GROC-003,8901234567892,Groceries,10,850,600,50,900,153,2024-01-03
TXN-10004,STORE-MUM-02,SKU-ELECT-004,8901234567893,Electronics,1,12500,9000,500,13000,2250,2024-01-03
TXN-10005,STORE-DEL-03,SKU-APRL-005,8901234567894,Apparel,2,2200,1400,300,2500,396,2024-01-04
TXN-10006,STORE-DEL-03,SKU-GROC-006,8901234567895,Groceries,5,620,420,30,650,111.6,2024-01-04
TXN-10007,STORE-CHN-04,SKU-HOME-007,8901234567896,Home & Kitchen,1,3200,2100,200,3400,576,2024-01-05
TXN-10008,STORE-CHN-04,SKU-ELECT-008,8901234567897,Electronics,1,28000,20000,1000,29000,5040,2024-01-05
TXN-10009,STORE-HYD-05,SKU-GROC-009,8901234567898,Groceries,8,960,680,60,1020,172.8,2024-01-06
TXN-10010,STORE-HYD-05,SKU-APRL-010,8901234567899,Apparel,4,4400,2800,400,4800,792,2024-01-06
TXN-10011,STORE-BLR-01,SKU-HOME-011,8901234500001,Home & Kitchen,2,6400,4400,400,6800,1152,2024-01-07
TXN-10012,STORE-BLR-01,SKU-GROC-012,8901234500002,Groceries,12,1440,1020,80,1520,259.2,2024-01-07
TXN-10013,STORE-MUM-02,SKU-ELECT-013,8901234500003,Electronics,1,8999,6500,500,9499,1620,2024-01-08
TXN-10014,STORE-MUM-02,SKU-APRL-014,8901234500004,Apparel,5,5500,3500,500,6000,990,2024-01-08
TXN-10015,STORE-DEL-03,SKU-HOME-015,8901234500005,Home & Kitchen,3,9600,6600,600,10200,1728,2024-01-09
TXN-10016,STORE-DEL-03,SKU-GROC-016,8901234500006,Groceries,6,720,510,40,760,129.6,2024-01-09
