log_id,user_id,feature,count
LOG-1,U-1,Dashboard,74
LOG-2,U-1,Dashboard,50
LOG-3,U-1,Export,65
LOG-4,U-1,API,88
LOG-5,U-1,Dashboard,5
LOG-6,U-1,API,46
LOG-7,U-1,Dashboard,87
LOG-8,U-1,API,80
LOG-9,U-1,API,61
LOG-10,U-2,Dashboard,62
LOG-11,U-2,API,84
LOG-12,U-2,Export,61
LOG-13,U-2,API,24
LOG-14,U-2,Dashboard,81
LOG-15,U-2,API,22
LOG-16,U-2,API,30
LOG-17,U-2,API,3
LOG-18,U-2,Dashboard,16
LOG-19,U-2,API,81
LOG-20,U-3,API,98
LOG-21,U-3,Dashboard,25
LOG-22,U-3,Dashboard,42
LOG-23,U-3,Dashboard,20
LOG-24,U-3,API,26
LOG-25,U-3,API,44
LOG-26,U-3,Export,72
LOG-27,U-3,API,31
LOG-28,U-3,Export,4
LOG-29,U-3,Dashboard,66
LOG-30,U-4,API,7
LOG-31,U-4,API,44
LOG-32,U-4,Export,13
LOG-33,U-4,Export,50
LOG-34,U-4,Dashboard,13
LOG-35,U-4,Dashboard,31
LOG-36,U-4,API,1
LOG-37,U-4,Export,99
LOG-38,U-4,Export,20
LOG-39,U-4,API,89
LOG-40,U-5,API,63
LOG-41,U-5,API,50
LOG-42,U-5,API,50
LOG-43,U-5,Export,78
LOG-44,U-5,Export,9
LOG-45,U-5,Export,64
LOG-46,U-5,Dashboard,52
LOG-47,U-5,API,40
LOG-48,U-5,Export,37
LOG-49,U-5,API,87
LOG-50,U-6,Dashboard,40
