inv_id,order_id,tax,total
inv-1,ORD-1,6.94,304.41
INV-2,ORD-2,1.45,206.74
INV-3,ORD-3,11.05,214.09
INV-4,,14.47,364.35
INV-5,ORD-5,10.66,128.89
INV-6,ORD-6,14.40,402.46
INV-7,ORD-7,16.09,430.39
INV-8,ORD-8,19.25,408.64
INV-9,ORD-9,7.35,340.87
inv-10,ORD-10,16.76,108.44
INV-11,ORD-11,13.12,159.71
INV-12,ORD-12,  12.60  ,317.53
INV-13,ORD-13,3.30,66.81
INV-14,ORD-14,16.85,33.56
INV-15,ORD-15,7.16,264.07
INV-16,ORD-16,10.16,366.99
INV-17,ORD-17,10.34,29.66
INV-18,ORD-18,8.29,114.16
INV-19,ORD-19,14.55,18.99
INV-20,ORD-20,18.26,169.35
INV-21,ORD-21,1.80,253.17
INV-22,ORD-22,18.82,415.32
INV-23,,13.30,296.16
inv-24,ORD-24,0.51,272.46
INV-25,ORD-25,11.07,389.26
INV-26,ORD-26,0.15,188.67
INV-27,ORD-27,8.60,96.49
INV-28,ORD-28,5.31,10.96
INV-29,ORD-29,10.61,299.76
INV-30,ORD-30,7.43,225.43
INV-31,ORD-31,12.49,114.22
INV-32,ORD-32,5.70,444.23
INV-33,ORD-33,13.28,444.72
inv-34,ORD-34,16.08,512.85
INV-35,ORD-35,6.14,563.03
INV-36,ORD-36,15.00,359.01
INV-37,ORD-37,15.63,569.96
INV-38,ORD-38,18.89,328.53
INV-39,ORD-39,1892.0000000000002,145.29
INV-40,ORD-40,9.16,399.00
INV-41,ORD-41,14.73,566.40
INV-42,ORD-42,2.14,481.05
INV-43,ORD-43,10.95,342.10
INV-44,ORD-44,8.02,518.95
INV-45,ORD-45,1.80,536.53
INV-46,ORD-46,4.52,505.35
INV-47,ORD-47,11.85,536.34
INV-48,ORD-48,9.96,234.21
INV-49,ORD-49,15.24,32.99
INV-50,ORD-50,17.12,550.08
