order_id,customer_id,amount,date,status
ORD-1,CUST-1,48.24,2025-08-15,Cancelled
ORD-2,CUST-2,490.85,2024-11-21,Cancelled
ORD-3,CUST-2,50.58,2023-03-26,Cancelled
ORD-4,CUST-3,263.55,2025-06-01,Pending
ORD-5,CUST-3,248.47,2024-09-18,Pending
ORD-6,CUST-4,136.28,2023-11-25,Shipped
ORD-7,CUST-4,18.19,2024-04-18,Cancelled
ORD-8,CUST-5,174.87,2025-01-13,Shipped
ORD-9,CUST-5,413.30,2025-02-05,Pending
ORD-10,CUST-6,95.33,2025-04-23,shipped
ORD-11,CUST-6,349.67,2025-06-27,Pending
ORD-12,CUST-7,460.40,2026-03-11,Shipped
ORD-13,CUST-7,219.10,2025-08-03,Shipped
ORD-14,CUST-8,321.27,,Pending
ORD-15,CUST-8,53.40,2024-10-29,Cancelled
ORD-16,CUST-9,375.41,2024-10-17,Cancelled
ORD-17,CUST-9,210.75,2023-03-25,Cancelled
ORD-18,CUST-10,458.14,2024-01-22,Pending
ORD-19,CUST-10,449.35,2025-05-31,Pending
ORD-20,CUST-11,147.80,2025-05-23,Cancelled
ORD-21,CUST-11,1.46,2025-02-12,Cancelled
ORD-22,CUST-12,409.31,2023-12-13,Pending
ORD-23,CUST-12,224.71,2023-04-17,Shipped
ORD-24,CUST-13,476.01,2025-01-16,Shipped
ORD-25,CUST-13,52.41,2025-09-22,Cancelled
ORD-26,CUST-14,85.03,2025-03-11,Pending
ORD-27,cust-14,371.02,2023-02-07,Pending
ORD-28,CUST-15,240.81,2025-12-11,Pending
ORD-29,CUST-15,86.42,2025-08-02,Pending
ORD-30,CUST-16,437.39,2024-01-01,Pending
ORD-31,CUST-16,401.94,,Shipped
ORD-32,CUST-17,428.06,2025-11-25,Cancelled
ORD-33,CUST-17,325.84,2023-07-14,Cancelled
ORD-34,CUST-18,271.31,2024-01-26,Cancelled
ORD-35,CUST-18,397.54,2023-10-28,Cancelled
ORD-36,CUST-19,301.29,2025-11-18,Pending
ORD-37,CUST-19,364.65,2024-07-26,Shipped
ORD-38,CUST-20,323.49,2023-09-19,Shipped
ORD-39,CUST-20,127.75,2025-06-12,Pending
ORD-40,cust-21,371.41,2024-09-19,Cancelled
ORD-41,CUST-21,433.74,2026-02-27,Shipped
ORD-42,CUST-22,493.47,2024-07-06,Cancelled
ORD-43,CUST-22,110.63,2025-10-25,Pending
ORD-44,CUST-23,272.19,2025-12-16,Cancelled
ORD-45,CUST-23,232.78,2023-12-19,Shipped
ORD-46,CUST-24,438.78,2023-09-08,Cancelled
ORD-47,CUST-24,386.79,2025-11-08,Cancelled
ORD-48,CUST-25,467.51,2025-07-24,Pending
ORD-49,CUST-25,283.62,2023-08-26,
ORD-50,CUST-26,330.20,2025-11-27,Cancelled
