sku,name,price,category
SKU-1,Product 1,1.04,Home
SKU-2,Product 2,95.99,Electronics
SKU-3,Product 3,83.28,Home
SKU-4,Product 4,89.58,
SKU-5,Product 5,29.92,Fashion
SKU-6,Product 6,19.36,Electronics
SKU-7,Product 7,43.15,Electronics
SKU-8,Product 8,63.68,Home
SKU-9,Product 9,41.07,Electronics
SKU-10,Product 10,9.31,Electronics
SKU-11,Product 11,76.12,Electronics
SKU-12,Product 12,69.00,Fashion
SKU-13,Product 13,79.86,Fashion
SKU-14,Product 14,,Electronics
SKU-15,Product 15,50.77,Electronics
SKU-16,Product 16,95.49,Home
SKU-17,Product 17,57.04,Electronics
SKU-18,Product 18,17.08,Fashion
SKU-19,Product 19,49.50,Electronics
SKU-20,Product 20,33.28,Fashion
SKU-21,Product 21,89.33,Fashion
SKU-22,Product 22,96.85,Fashion
SKU-23,Product 23,8.36,Electronics
SKU-24,Product 24,33.98,Fashion
SKU-25,Product 25,53.05,Fashion
SKU-26,Product 26,56.40,Fashion
SKU-27,Product 27,32.81,Electronics
SKU-28,Product 28,14.13,Electronics
SKU-29,Product 29,72.51,Electronics
SKU-30,Product 30,6.50,Home
SKU-31,Product 31,7.75,Home
SKU-32,Product 32,96.54,Fashion
SKU-33,Product 33,23.66,Home
SKU-34,Product 34,44.86,Home
SKU-35,Product 35,5.36,Home
SKU-36,Product 36,11.20,Electronics
SKU-37,Product 37,,Home
SKU-38,Product 38,6.25,Electronics
SKU-39,Product 39,  38.72  ,Fashion
SKU-40,Product 40,,Fashion
SKU-41,Product 41,32.86,Electronics
SKU-42,Product 42,76.79,Home
SKU-43,Product 43,29.38,Electronics
SKU-44,Product 44,,Electronics
SKU-45,Product 45,51.32,Home
SKU-46,Product 46,93.33,Fashion
SKU-47,product 47,92.49,Home
SKU-48,Product 48,81.07,Fashion
SKU-49,product 49,2.85,Electronics
SKU-50,Product 50,73.58,Home
