order_id,customer_id,order_date,revenue,quantity,category,status
ORD-120,C-520,2024-01-20,999999.99,1,Electronics,Completed
ORD-121,C-521,2024-01-21,45.00,1,Fashion,Shipped
ORD-122,C-522,2024-01-22,150.00,2,Home***,Pending
ORD-123,C-523,2024-01-23,-50.00,1,Electronics,Completed
ORD-124,C-524,2024-01-24,80.00,1,Fashion,Shipped
ORD-125,C-525,2024-01-25,210.00,2,Home,Pending
ORD-126,C-526,2024-01-26,30.00,,Electronics,Cancelled
ORD-127,C-527,2024-01-27,500.00,5,Fashion,Shipped
ORD-128,C-528,2024-01-28,120.00,1,Home,Completed
ORD-129,C-529,2024-01-29,200.00,2,Electronics,Shipped
