id,student_id,course_id
ENR-1,STU-1,CRS-2
ENR-2,STU-2,CRS-3
ENR-3,STU-3,CRS-4
ENR-4,STU-4,CRS-5
ENR-5,STU-5,CRS-6
ENR-6,STU-6,CRS-7
ENR-7,STU-7,CRS-8
ENR-8,STU-8,CRS-9
enr-9,STU-9,CRS-10
ENR-10,STU-10,CRS-1
ENR-11,STU-11,CRS-2
ENR-12,stu-12,CRS-3
ENR-13,STU-13,CRS-4
ENR-14,STU-14,CRS-5
ENR-15,STU-15,CRS-6
ENR-16,STU-16,CRS-7
ENR-17,STU-17,CRS-8
ENR-18,STU-18,CRS-9
ENR-19,STU-19,CRS-10
ENR-20,STU-20,CRS-1
ENR-21,STU-21,CRS-2
ENR-22,STU-22,CRS-3
ENR-23,,CRS-4
enr-24,STU-24,CRS-5
ENR-25,STU-25,CRS-6
ENR-26,STU-26,
ENR-27,STU-27,CRS-8
ENR-28,STU-28,CRS-9
,STU-29,CRS-10
ENR-30,STU-30,CRS-1
ENR-31,STU-31,CRS-2
ENR-32,STU-32,3/CRS
ENR-33,STU-33,CRS-4
ENR-34,STU-34,CRS-5
ENR-35,STU-35,CRS-6
ENR-36,STU-36,CRS-7
ENR-37,,CRS-8
ENR-38,STU-38,CRS-9
ENR-39,STU-39,CRS-10
ENR-40,STU-40,CRS-1
ENR-41,STU-41,CRS-2
ENR-42,stu-42,CRS-3
ENR-43,STU-43,CRS-4
ENR-44,stu-44,CRS-5
ENR-45,45/STU,CRS-6
ENR-46,STU-46,CRS-7
enr-47,STU-47,CRS-8
ENR-48,STU-48,CRS-9
ENR-49,STU-49,CRS-10
ENR-50,STU-50,crs-1
