inv_id,sub_id,amount,status
SINV-1,SUB-1,129.50,Open
SINV-2,SUB-2,218.59,Open
SINV-3,SUB-3,207.90,Failed
SINV-4,SUB-4,134.19,Failed
SINV-5,SUB-5,142.14,
SINV-6,SUB-6,91.38,Failed
SINV-7,SUB-7,76.15,Paid
SINV-8,SUB-8,158.34,Paid
SINV-9,SUB-9,263.22,Open
SINV-10,sub-10,166.35,Open
SINV-11,SUB-11,53.66,Open
SINV-12,SUB-12,79.33,Open
SINV-13,SUB-13,175.56,Paid
sinv-14,SUB-14,75.70,Open
SINV-15,SUB-15,186.70,Open
SINV-16,SUB-16,61.30,Paid
SINV-17,SUB-17,144.16,Paid
SINV-18,SUB-18,271.02,Paid
SINV-19,SUB-19,87.22,Paid
SINV-20,SUB-20,12.49,Failed
SINV-21,SUB-21,193.91,Failed
SINV-22,SUB-22,288.13,Paid
SINV-23,SUB-23,264.25,Failed
SINV-24,SUB-24,171.32,Failed
SINV-25,SUB-25,86.96,Open
SINV-26,SUB-26,83.50,Open
SINV-27,SUB-27,  198.42  ,Open
SINV-28,SUB-28,5.46,Open
SINV-29,SUB-29,24.81,Failed
SINV-30,SUB-30,153.36,Paid
SINV-31,SUB-31,32.65,Open
SINV-32,SUB-32,269.08,Paid
SINV-33,SUB-33,168.66,Open
SINV-34,SUB-34,271.13,Failed
SINV-35,SUB-35,164.48,Paid
SINV-36,SUB-36,3590.9999999999995,Failed
SINV-37,SUB-37,153.86,
SINV-38,SUB-38,132.90,failed
SINV-39,SUB-39,294.95,Paid
SINV-40,SUB-40,55.68,Open
SINV-41,SUB-41,105.15,Failed
SINV-42,SUB-42,82.22,Paid
SINV-43,SUB-43,217.89,Paid
SINV-44,SUB-44,173.41,Paid
SINV-45,SUB-45,  47.99  ,Open
SINV-46,SUB-46,62.75,Paid
SINV-47,SUB-47,102.35,Open
SINV-48,SUB-48,222.59,Paid
SINV-49,SUB-49,204.48,Paid
SINV-50,SUB-50,98.16,Open
