sub_id,user_id,plan,mrr
SUB-1,U-1,Pro,0
SUB-2,U-2,Pro,49
SUB-3,U-3,Free,299
SUB-4,U-4,Free,0
SUB-5,U-5,Enterprise,0
SUB-6,U-6,pro,0
SUB-7,U-7,Free,
SUB-8,U-8,Free,49
SUB-9,U-9,,49
SUB-10,U-10,Free,299
SUB-11,U-11,Pro,49
SUB-12,U-12,Pro,0
SUB-13,U-13,Enterprise,49
SUB-14,U-14,Enterprise,49
SUB-15,U-15,Pro,49
SUB-16,U-16,Free,0
SUB-17,U-17,Free,0
SUB-18,U-18,Enterprise,
SUB-19,U-19,Free,299
SUB-20,U-20,Pro,29900
SUB-21,U-21,Pro,0
SUB-22,U-22,Free,299
SUB-23,U-23,Pro,299
SUB-24,U-24,Enterprise,299
SUB-25,U-25,Pro,49
,U-26,Enterprise,299
SUB-27,U-27,  Free  ,49
SUB-28,U-28,Enterprise,299
SUB-29,U-29,Free,0
SUB-30,U-30,Enterprise,0
SUB-31,U-31,,299
SUB-32,U-32,Enterprise,49
SUB-33,U-33,Pro,299
SUB-34,U-34,Enterprise,0
SUB-35,U-35,Enterprise,0
SUB-36,U-36,Free,299
SUB-37,U-37,Pro,299
SUB-38,U-38,Pro,0
SUB-39,U-39,Free,49
SUB-40,U-40,Enterprise,299
SUB-41,U-41,Free,299
SUB-42,U-42,Free,299
SUB-43,,Pro,299
SUB-44,U-44,Enterprise,49
SUB-45,U-45,Enterprise,49
SUB-46,U-46,Enterprise,299
SUB-47,U-47,Free,49
SUB-48,U-48,Enterprise,299
SUB-49,U-49,Pro,0
SUB-50,U-50,Enterprise,49
