ticket_id,user_id,priority,resolved
TKT-1,U-1,Low,true
TKT-2,U-1,High,true
TKT-3,U-1,High,
TKT-4,U-1,High,true
TKT-5,U-2,High,false
TKT-6,U-2,Low,true
TKT-7,2/U,High,true
TKT-8,U-2,High,false
TKT-9,U-2,Low,false
TKT-10,U-3,High,true
TKT-11,U-3,Low,false
TKT-12,3/U,High,true
TKT-13,U-3,High,true
TKT-14,U-3,Low,true
TKT-15,U-4,High,
TKT-16,U-4,High,true
TKT-17,U-4,Low,true
TKT-18,U-4,Low,false
TKT-19,U-4,High,true
,U-5,High,true
TKT-21,U-5,Low,true
TKT-22,U-5,Low,true
TKT-23,U-5,Low,true
TKT-24,U-5,High,true
TKT-25,U-6,Low,true
TKT-26,U-6,Low,false
TKT-27,U-6,High,true
TKT-28,U-6,High,false
TKT-29,,Low,true
TKT-30,U-7,Low,
TKT-31,U-7,Low,true
TKT-32,U-7,High,false
TKT-33,U-7,High,true
TKT-34,U-7,High,true
TKT-35,u-8,Low,true
TKT-36,U-8,High,false
TKT-37,U-8,High,false
TKT-38,U-8,High,false
TKT-39,U-8,Low,false
TKT-40,U-9,Low,true
TKT-41,U-9,High,true
TKT-42,U-9,Low,false
TKT-43,U-9,High,false
TKT-44,U-9,High,false
TKT-45,U-10,Low,false
TKT-46,U-10,High,false
TKT-47,U-10,High,false
TKT-48,U-10,Low,false
TKT-49,U-10,Low,false
TKT-50,U-11,High,true
