order_id,order_date,customer_id,product_id,sku,unit_price,cost,quantity,selling_price,order_value,payment_method,order_status,delivery_date,return_status,shipping_address
ORD-2-000000,2023-08-03,16755,1241,SKU-2-1241,9.99,4.0,2,12.61,25.22,UPI,Delivered,2023-08-12,Return Requested,"Ahmedabad, Gujarat"
ORD-2-000001,2023-03-21,15281,1221,SKU-2-1221,29.99,10.97,3,31.37,94.11,UPI,In Transit,2023-03-23,No Return,"Kolkata, Madhya Pradesh"
ORD-2-000002,2024-02-03,16323,1215,SKU-2-1215,49.99,16.07,3,56.45,169.35,Debit Card,Shipped,2024-02-08,Return Approved,"Delhi, Delhi"
ORD-2-000003,2023-06-03,16837,1214,SKU-2-1214,19.99,11.46,4,20.75,83.0,Net Banking,Delivered,2023-06-07,No Return,"Chandigarh, Madhya Pradesh"
ORD-2-000004,2023-06-18,17250,1235,SKU-2-1235,14.99,8.47,7,16.88,118.16,Credit Card,In Transit,2023-06-19,No Return,"Jaipur, Gujarat"
ORD-2-000005,2025-01-16,15459,1213,SKU-2-1213,49.99,25.54,2,70.23,140.46,Debit Card,Confirmed,,No Return,"Chandigarh, Delhi"
ORD-2-000006,2024-10-30,19666,1236,SKU-2-1236,49.99,21.87,1,72.21,72.21,Debit Card,In Transit,2024-10-31,No Return,"Kolkata, Gujarat"
ORD-2-000007,2023-02-28,17053,1236,SKU-2-1236,99.99,36.12,7,148.14,1036.98,Net Banking,Delivered,2023-03-08,No Return,"Chennai, Maharashtra"
ORD-2-000008,2023-03-19,19909,1227,SKU-2-1227,14.99,7.55,1,21.24,21.24,UPI,Returned,2023-03-23,No Return,"Lucknow, Kerala"
ORD-2-000009,2025-06-20,15893,1205,SKU-2-1205,19.99,10.01,1,28.41,28.41,Debit Card,Delivered,2025-06-23,No Return,"Chennai, Delhi"
ORD-2-000010,2024-09-22,16506,1221,SKU-2-1221,14.99,6.71,1,22.21,22.21,Credit Card,Processing,,No Return,"Chennai, Rajasthan"
ORD-2-000011,2025-08-28,18792,1219,SKU-2-1219,59.99,28.4,3,67.03,201.09,UPI,In Transit,2025-08-30,No Return,"Kolkata, Telangana"
ORD-2-000012,2023-09-02,15161,1243,SKU-2-1243,14.99,4.6,3,15.09,45.27,UPI,In Transit,2023-09-06,No Return,"Lucknow, Uttar Pradesh"
ORD-2-000013,2023-11-09,18964,1201,SKU-2-1201,39.99,21.2,1,54.78,54.78,Credit Card,Processing,,No Return,"Lucknow, Madhya Pradesh"
ORD-2-000014,2023-05-25,15068,1221,SKU-2-1221,14.99,6.19,2,16.7,33.4,Credit Card,Shipped,2023-05-28,No Return,"Delhi, Telangana"
ORD-2-000015,2024-01-10,15357,1219,SKU-2-1219,99.99,52.27,2,149.68,299.36,Debit Card,Processing,,No Return,"Ahmedabad, Maharashtra"
ORD-2-000016,2024-12-26,18054,1204,SKU-2-1204,299.99,155.32,2,449.01,898.02,UPI,Processing,,No Return,"Kolkata, Tamil Nadu"
ORD-2-000017,2025-10-01,18686,1204,SKU-2-1204,9.99,4.41,1,12.29,12.29,Wallet,Shipped,2025-10-02,No Return,"Nagpur, Punjab"
ORD-2-000018,2023-07-01,17433,1224,SKU-2-1224,59.99,22.9,2,81.58,163.16,Net Banking,Delivered,2023-07-08,No Return,"Bangalore, Tamil Nadu"
ORD-2-000019,2025-04-30,16570,1241,SKU-2-1241,199.99,118.96,1,208.51,208.51,UPI,Delivered,2025-05-08,Return Approved,"Nagpur, West Bengal"
ORD-2-000020,2024-08-04,18552,1218,SKU-2-1218,74.99,34.34,1,96.64,96.64,Debit Card,Shipped,2024-08-07,No Return,"Delhi, Punjab"
ORD-2-000021,2025-04-24,17672,1236,SKU-2-1236,299.99,138.57,4,329.67,1318.68,UPI,Delivered,2025-05-04,No Return,"Chandigarh, Kerala"
ORD-2-000022,2025-04-09,15163,1231,SKU-2-1231,149.99,47.97,4,203.03,812.12,UPI,Shipped,2025-04-11,No Return,"Mumbai, Uttar Pradesh"
ORD-2-000023,2025-09-19,15033,1249,SKU-2-1249,39.99,12.46,1,51.87,51.87,Net Banking,Delivered,2025-09-28,Return Requested,"Nagpur, Karnataka"
ORD-2-000024,2023-12-21,15302,1217,SKU-2-1217,49.99,15.24,1,71.49,71.49,Wallet,Processing,,Return Requested,"Pune, Delhi"
ORD-2-000025,2025-03-13,17059,1214,SKU-2-1214,59.99,19.22,2,65.43,130.86,Debit Card,Shipped,2025-03-15,No Return,"Chandigarh, Delhi"
ORD-2-000026,2024-03-04,19638,1228,SKU-2-1228,59.99,23.84,6,89.82,538.92,Debit Card,Cancelled,,No Return,"Mumbai, Punjab"
ORD-2-000027,2025-03-14,17206,1207,SKU-2-1207,19.99,7.61,5,28.96,144.8,UPI,Shipped,2025-03-20,No Return,"Hyderabad, West Bengal"
ORD-2-000028,2024-10-16,18218,1241,SKU-2-1241,74.99,44.58,1,101.42,101.42,COD,Shipped,2024-10-20,No Return,"Pune, West Bengal"
ORD-2-000029,2023-10-22,18255,1218,SKU-2-1218,19.99,6.28,3,24.73,74.19,Credit Card,Cancelled,,No Return,"Lucknow, Tamil Nadu"
ORD-2-000030,2024-06-05,16987,1210,SKU-2-1210,39.99,21.63,3,57.78,173.34,UPI,Delivered,2024-06-11,No Return,"Bangalore, Madhya Pradesh"
ORD-2-000031,2024-08-05,17157,1234,SKU-2-1234,299.99,135.13,1,374.85,374.85,UPI,In Transit,2024-08-11,Return Approved,"Lucknow, Kerala"
ORD-2-000032,2023-10-27,18604,1245,SKU-2-1245,19.99,8.82,6,22.52,135.12,Debit Card,Delivered,2023-11-07,No Return,"Bangalore, Maharashtra"
ORD-2-000033,2023-02-26,16146,1237,SKU-2-1237,149.99,72.07,2,178.29,356.58,Wallet,Confirmed,,No Return,"Chandigarh, Karnataka"
ORD-2-000034,2024-05-12,19301,1223,SKU-2-1223,29.99,9.55,1,30.21,30.21,UPI,Confirmed,,No Return,"Hyderabad, Rajasthan"
ORD-2-000035,2025-11-01,15713,1214,SKU-2-1214,29.99,11.94,1,43.59,43.59,Credit Card,Cancelled,,No Return,"Pune, Madhya Pradesh"
