order_id,customer_id,order_date,revenue,quantity,category,status,product_id,sku,unit_price,cost_of_goods,shipping_cost,tax_amount,discount_amount,channel,payment_method,customer_type,region,is_returned,return_reason
ORD-10001,CUST-1,2025-08-22,506.36,2,Fashion,Cancelled,PROD-856,SKU-4297,253.18,202.55,12.31,40.51,0.00,Affiliate,Crypto,Returning,South,FALSE,
ORD-10002,CUST-1,2025-05-30,398.54,4,Electronics,Shipped,PROD-342,SKU-4765,99.64,159.42,19.90,31.88,0.00,Web,Credit Card,Returning,International,FALSE,
ORD-10003,CUST-2,Thu Mar 23 2023,335.65,1,Beauty,Completed,PROD-655,SKU-1730,335.65,134.26,1.07,26.85,0.00,Web,Debit Card,New,International,FALSE,
ORD-10004,CUST-2,2024-05-17,145.30,3,Beauty,Cancelled,PROD-731,SKU-209,48.43,58.12,8.57,11.62,14.53,Social Media,Crypto,Returning,International,FALSE,
ORD-10005,CUST-2,2023-11-13,105.79,5,Fashion,Cancelled,PROD-921,SKU-1599,21.16,42.32,11.73,8.46,0.00,Affiliate,Crypto,New,West,FALSE,
ORD-10006,CUST-3,1739053717872,480.94,,Fashion,Cancelled,PROD-33,SKU-2611,240.47,192.38,15.14,38.48,0.00,Social Media,PayPal,VIP,International,FALSE,
ORD-10007,CUST-3,11/14/2023,119.40,3,Home,Completed,PROD-373,SKU-55,39.80,47.76,5.21,9.55,0.00,Affiliate,Debit Card,Returning,North,FALSE,
ORD-10008,CUST-3,2023-05-11,12.55,4,Sports,Shipped,PROD-180,SKU-2126,3.14,5.02,7.21,1.00,0.00,Affiliate,PayPal,Returning,International,FALSE,
ORD-10009,CUST-4,2023-08-26,152.77,3,Electronics,Pending,PROD-512,SKU-3470,50.92,61.11,8.82,12.22,15.28,Mobile App,Credit Card,Returning,International,FALSE,
ORD-10010,CUST-4,2025-02-13,440.39,4,Beauty,Shipped,PROD-453,SKU-2782,110.10,176.15,2.95,35.23,44.04,Affiliate,Debit Card,Returning,North,FALSE,
ORD-10011,CUST-4,2025-07-25,436.13,1,Home,Shipped,PROD-611,SKU-2579,436.13,174.45,12.46,34.89,0.00,Mobile App,Crypto,Returning,North,FALSE,
ORD-10012,CUST-5,2024-05-22,346.22,1,Sports,Completed,PROD-730,SKU-2071,346.22,138.49,4.67,27.70,0.00,Affiliate,Crypto,VIP,North,FALSE,
ORD-10013,CUST-5,2025-06-27,227.75,3,Sports,Cancelled,PROD-405,SKU-4113,75.92,91.10,10.30,18.22,0.00,Social Media,Debit Card,Returning,International,FALSE,
ORD-10014,CUST-5,2025-11-23,284.43,1,Beauty,Cancelled,PROD-617,SKU-4320,284.43,113.77,13.15,22.75,0.00,Web,Crypto,New,East,FALSE,
ORD-10015,CUST-6,2024-06-26,444.87,2,Sports,Pending,PROD-90,SKU-3679,222.44,177.95,5.81,35.59,0.00,Web,Debit Card,VIP,East,FALSE,
ORD-10016,CUST-6,2026-01-06,313.64,1,Sports,Shipped,PROD-107,SKU-3895,313.64,125.45,7.56,25.09,0.00,Social Media,PayPal,New,West,FALSE,
ORD-10017,CUST-6,2024-02-24,407.34,3,Sports,Cancelled,PROD-448,SKU-4933,135.78,162.94,3.15,32.59,0.00,Affiliate,Credit Card,Returning,North,FALSE,
ORD-10018,CUST-7,2025-11-09,341.07,2,Sports,Shipped,PROD-528,SKU-3534,170.53,136.43,7.54,27.29,34.11,Mobile App,Debit Card,Returning,West,FALSE,
ORD-10019,CUST-7,2025-10-23,443.21,2,Beauty,Pending,PROD-42,SKU-3583,221.60,177.28,12.57,35.46,0.00,Affiliate,Crypto,New,South,FALSE,
ORD-10020,CUST-7,2025-07-07,90.59,2, Home ,Shipped,PROD-324,SKU-2269,45.29,36.23,19.30,7.25,0.00,Social Media,Debit Card,New,International,FALSE,
ORD-10021,CUST-8,2025-04-06,,5,Home,Shipped,PROD-661,SKU-1022,67.52,135.05,5.16,27.01,0.00,Mobile App,Credit Card,VIP,West,FALSE,
ORD-10022,CUST-8,2024-10-18,281.84,5,Fashion,Returned,PROD-408,SKU-327,56.37,112.74,12.05,22.55,0.00,Mobile App,Credit Card,New,West,FALSE,
ORD-10023,CUST-8,2023-06-29,184.28,3,Fashion,Completed,PROD-943,SKU-1734,61.43,73.71,11.82,14.74,0.00,Affiliate,Crypto,New,South,FALSE,
ORD-10024,CUST-9,2024-06-03,454.26,3,Fashion,Cancelled,PROD-132,SKU-2926,151.42,181.71,18.43,36.34,0.00,Web,Crypto,New,East,FALSE,
ORD-10025,CUST-9,2023-12-03,462.55,2,Sports,Pending,PROD-550,SKU-1876,231.27,185.02,10.94,37.00,0.00,Mobile App,PayPal,New,West,FALSE,
ORD-10026,CUST-9,2024-04-24,82.58,4,Home,Shipped,PROD-579,SKU-2763,20.65,33.03,19.99,6.61,0.00,Mobile App,PayPal,Returning,West,FALSE,Defective
ORD-10027,CUST-10,2025-10-21,154.68,3,Home,Returned,PROD-925,SKU-1591,51.56,61.87,10.50,12.37,0.00,Affiliate,PayPal,Returning,International,FALSE,
ORD-10028,CUST-10,2024-02-26,267.35,1,Home,Returned,PROD-270,SKU-3479,267.35,106.94,19.13,21.39,0.00,Social Media,Credit Card,Returning,West,FALSE,
ORD-10029,CUST-10,2024-01-13,183.01,5,Fashion,Shipped,PROD-711,SKU-2214,36.60,73.20,19.64,14.64,0.00,Affiliate,PayPal,Returning,International,FALSE,
ORD-10030,CUST-11,2025-03-05,300.02,4,Home,Shipped,PROD-774,SKU-3184,75.01,120.01,3.79,24.00,0.00,Social Media,Crypto,VIP,East,FALSE,
ORD-10031,CUST-11,6/28/2023,409.81,5,Beauty,Shipped,PROD-283,SKU-4994,81.96,163.92,3.10,32.78,40.98,Social Media,PayPal,Returning,North,FALSE,
ORD-10032,CUST-11,2024-06-13, 382.81 ,3,,Cancelled,PROD-341,SKU-1994,127.60,153.12,9.27,30.62,0.00,Social Media,Crypto,New,South,FALSE,
ORD-10033,CUST-12,1762416624668,406.14,1,Fashion,Pending,PROD-828,SKU-4467,406.14,162.45,1.48,32.49,0.00,Affiliate,Crypto,Returning,East,FALSE,
ORD-10034,CUST-12,2024-09-12,425.45,4,Electronics,Shipped,PROD-398,SKU-1194,106.36,170.18,18.03,34.04,0.00,Web,Credit Card,VIP,North,FALSE,
ORD-10035,CUST-12,2023-05-23,204.11,2,Home,Returned,PROD-422,SKU-3351,102.06,81.65,2.12,16.33,0.00,Affiliate,PayPal,VIP,West,FALSE,
ORD-10036,CUST-13,2025-11-02,478.28,5,Fashion,Pending,PROD-440,SKU-2019,95.66,191.31,5.33,38.26,0.00,Social Media,PayPal,Returning,North,FALSE,Defective
ORD-10037,CUST-13,2025-10-16,498.77,3,Home,Shipped,PROD-887,SKU-1083,166.26,199.51,14.20,39.90,0.00,Mobile App,PayPal,VIP,North,FALSE,
ORD-10038,CUST-13,2023-01-02,16.86,2,Fashion,Returned,PROD-687,SKU-4734,8.43,6.74,4.64,1.35,0.00,Social Media,Crypto,VIP,West,FALSE,
ORD-10039,CUST-14,2023-04-21,439.24,4,Fashion,Shipped,PROD-251,SKU-1914,109.81,175.70,4.27,35.14,0.00,Social Media,Crypto,New,International,FALSE,
ORD-10040,CUST-14,2024-10-21,101.54,1,Sports,Cancelled,PROD-239,SKU-4853,101.54,40.62,16.78,8.12,0.00,Mobile App,Debit Card,New,West,FALSE,
ORD-10041,CUST-14,2023-04-12,45.61,2,Beauty,Completed,PROD-717,SKU-2821,22.80,18.24,0.17,3.65,0.00,Web,Crypto,VIP,West,FALSE,
ORD-10042,CUST-15,2024-03-30,11.65,2,Home,Shipped,PROD-293,SKU-1455,5.83,4.66,2.19,0.93,1.17,Web,Crypto,New,International,FALSE,
ORD-10043,CUST-15,2025-01-04,192.12,5,Electronics,Returned,PROD-101,SKU-4277,38.42,76.85,6.78,15.37,19.21,Web,PayPal,Returning,International,FALSE,
ORD-10044,CUST-15,2024-07-17,,5,Fashion,Pending,PROD-790,SKU-3115,55.18,110.37,15.92,22.07,27.59,Mobile App,Crypto,VIP,International,FALSE,
ORD-10045,CUST-16,2024-03-16,299.67,3,Electronics,Completed,PROD-580,SKU-2855,99.89,119.87,12.18,23.97,0.00,Web,Crypto,New,International,FALSE,
ORD-10046,CUST-16,2024-08-01,124.97,,Home,Pending,PROD-124,SKU-1691,41.66,49.99,1.52,10.00,12.50,Web,PayPal,Returning,South,FALSE,
ORD-10047,CUST-16,2024-09-23,214.71,1,Home,Completed,PROD-225,SKU-2788,214.71,85.88,12.01,17.18,0.00,Social Media,Crypto,New,West,FALSE,
ORD-10048,CUST-17,2023-04-20,324.71,2, Electronics ,Shipped,PROD-673,SKU-1903,162.35,129.88,4.04,25.98,0.00,Mobile App,Credit Card,New,International,FALSE,
ORD-10049,CUST-17,2023-08-20,253.94,2,Fashion,Cancelled,PROD-342,SKU-2088,126.97,101.58,14.37,20.32,0.00,Mobile App,PayPal,Returning,North,FALSE,
ORD-10050,CUST-17,2024-09-19,255.10,2,Beauty,Shipped,PROD-417,SKU-4644,127.55,102.04,2.44,20.41,0.00,Web,Debit Card,New,East,FALSE,
