order_id,customer_id,session_id,cart_id,order_date,revenue,cogs,marketing_cost,category,quantity,status,channel,region,product_id,sku,unit_price,shipping_cost,tax,customer_type,payment_method
ORD-20001,CUST-8001,SESS-25001,CART-22001,2025-11-21,416.80,171.65,5.06,Sports,4,Pending,Social Media,International,P-701,SKU-27,104.20,0.12,33.34,VIP,PayPal
ORD-20002,CUST-8001,SESS-25002,CART-22002,2025-03-27,392.06,152.15,20.78,Beauty,4,Pending,Social Media,West,P-434,SKU-691,98.02,0.84,31.36,VIP,Debit Card
ORD-20003,CUST-8002,SESS-25003,CART-22003,2025-12-05,25.79,11.45,37.27,Home,1,Completed,Affiliate,North,P-245,SKU-4020,25.79,9.76,2.06,Returning,PayPal
ORD-20004,CUST-8002,SESS-25004,CART-22004,2023-07-25,  133.56  ,76.34,35.49,Beauty,3,Completed,Web,West,P-12,SKU-4533,44.52,13.64,10.69,New,Debit Card
ORD-20005,CUST-8003,SESS-25005,CART-22005,2023-05-18,360.03,131.09,15.24,Home,1,Shipped,Affiliate,International,P-715,SKU-1517,360.03,0.63,28.80,Returning,Crypto
ORD-20006,CUST-8003,SESS-25006,CART-22006,2023-11-24,374.63,140.99,49.19,Fashion,2,Pending,Web,North,P-342,SKU-3513,187.31,16.65,29.97,Returning,Credit Card
ORD-20007,CUST-8003,SESS-25007,CART-22007,2025-06-13,35.80,19.54,42.09,Electronics,4,Completed,Web,North,P-653,SKU-3388,8.95,7.17,2.86,VIP,Credit Card
ORD-20008,CUST-8004,SESS-25008,CART-22008,2025-07-22,180.74,74.44,23.48,  fashion  ,5,Returned,Social Media,South,P-819,SKU-3274,36.15,7.31,14.46,Returning,PayPal
ORD-20009,CUST-8004,SESS-25009,CART-22009,2024-03-21,  358.65  ,141.68,31.03,Sports,1,Pending,Social Media,West,P-143,SKU-2306,358.65,18.86,28.69,New,PayPal
ORD-20010,CUST-8005,SESS-25010,CART-22010,1764826581989,190.65,82.59,48.58,Sports,3,Returned,Social Media,South,P-975,SKU-3683,63.55,16.21,15.25,New,PayPal
ORD-20011,CUST-8005,SESS-25011,CART-22011,10/27/2025,303.32,110.73,20.52,Electronics,1,Returned,Mobile App,East,P-19,SKU-3769,303.32,1.53,24.27,New,Credit Card
ORD-20012,CUST-8005,SESS-25012,CART-22012,2023-11-22,336.05,173.32,24.79,  home  ,4,Completed,Affiliate,South,P-10,SKU-3604,84.01,10.56,26.88,Returning,Crypto
ORD-20013,CUST-8006,SESS-25013,CART-22013,2024-04-23,44.75,26.34,28.21,  electronics  ,1,Shipped,Social Media,West,P-324,SKU-3295,44.75,7.24,3.58,New,Credit Card
ORD-20014,CUST-8006,SESS-25014,CART-22014,2023-01-04,404.99,228.86,20.64,Fashion,1,Completed,Mobile App,East,P-423,SKU-455,404.99,14.04,32.40,New,Debit Card
ORD-20015,CUST-8007,SESS-25015,CART-22015,2025-10-04,43.58,23.31,39.79,Beauty,3,Completed,Affiliate,International,P-575,SKU-689,14.53,9.27,3.49,New,Credit Card
ORD-20016,CUST-8007,SESS-25016,CART-22016,2023-06-23,250.21,135.76,47.32,Electronics,2,Completed,Mobile App,West,P-88,SKU-781,125.11,9.55,20.02,New,PayPal
ORD-20017,CUST-8007,SESS-25017,CART-22017,2023-01-04,365.79,195.44,26.60,Home,1,Pending,Mobile App,West,P-690,SKU-1191,365.79,9.91,29.26,VIP,Crypto
ORD-20018,CUST-8008,SESS-25018,CART-22018,2023-10-02,506.87,165.88,35.13,Fashion,3,Completed,Mobile App,West,P-305,SKU-977,168.96,15.13,40.55,New,PayPal
ORD-20019,CUST-8008,SESS-25019,CART-22019,2026-01-08,,84.82,15.48,Fashion,4,Returned,Affiliate,South,P-600,SKU-2321,64.63,0.97,20.68,New,Crypto
ORD-20020,CUST-8009,SESS-25020,CART-22020,2025-02-13,139.22,59.81,40.35,Electronics,2,Cancelled,Affiliate,International,P-971,SKU-4284,69.61,7.33,11.14,VIP,Credit Card
ORD-20021,CUST-8009,SESS-25021,CART-22021,2025-06-26,169.53,71.43,27.41,Home,3,Returned,Web,West,P-177,SKU-537,56.51,14.41,13.56,New,Credit Card
ORD-20022,CUST-8009,SESS-25022,CART-22022,2025-03-15,202.61,81.28,22.73,Beauty,4,Cancelled,Web,South,P-114,SKU-3645,50.65,13.85,16.21,New,PayPal
ORD-20023,CUST-8010,SESS-25023,CART-22023,2023-07-29,127.30,67.45,46.75,,3,Returned,Social Media,East,P-389,SKU-4099,42.43,14.45,10.18,Returning,Crypto
ORD-20024,CUST-8010,SESS-25024,CART-22024,2024-01-29,76.21,32.08,24.04,Fashion,4,Cancelled,Mobile App,West,P-987,SKU-4624,19.05,5.44,6.10,VIP,Crypto
ORD-20025,CUST-8011,SESS-25025,CART-22025,2024-01-29,147.52,45.32,23.08,Fashion,,Pending,Web,South,P-367,SKU-2705,73.76,8.47,11.80,Returning,Crypto
ORD-20026,CUST-8011,SESS-25026,CART-22026,2025-07-26,351.32,206.07,39.46,Beauty,5,Returned,Web,South,P-447,SKU-1694,70.26,9.49,28.11,Returning,PayPal
ORD-20027,CUST-8011,SESS-25027,CART-22027,1687845498957,185.21,67.11,0.69,Fashion,4,Returned,Affiliate,East,P-861,SKU-2006,46.30,3.67,14.82,Returning,Crypto
ORD-20028,CUST-8012,SESS-25028,CART-22028,2023-08-20,226.64,73.51,16.41,Home,3,Completed,Web,North,P-419,SKU-3842,75.55,17.93,18.13,VIP,Crypto
ORD-20029,CUST-8012,SESS-25029,CART-22029,2023-11-21,263.10,86.10,16.48,Fashion,1,Pending,Social Media,West,P-518,SKU-3901,263.10,10.31,21.05,VIP,Crypto
ORD-20030,CUST-8013,SESS-25030,CART-22030,2026-01-31,90.48,28.70,0.41,Electronics,3,Returned,Affiliate,North,P-393,SKU-360,30.16,7.39,7.24,VIP,Debit Card
ORD-20031,CUST-8013,SESS-25031,CART-22031,2025-05-04,81.01,36.69,15.55,Fashion,3,Shipped,Affiliate,South,P-881,SKU-3548,27.00,12.74,6.48,Returning,Credit Card
ORD-20032,CUST-8013,SESS-25032,CART-22032,2/19/2023,235.13,117.59,8.40,Beauty,1,Shipped,Mobile App,North,P-227,SKU-624,235.13,17.56,18.81,New,Debit Card
ORD-20033,CUST-8014,SESS-25033,CART-22033,2023-12-23,496.89,258.30,26.89,Fashion,4,Shipped,Mobile App,East,P-197,SKU-946,124.22,19.79,39.75,New,Debit Card
ORD-20034,CUST-8014,SESS-25034,CART-22034,2026-02-01,168.80,60.86,33.05,Sports,,Pending,Affiliate,International,P-471,SKU-3681,168.80,4.06,13.50,New,Credit Card
ORD-20035,CUST-8015,SESS-25035,CART-22035,3/25/2024,224.03,129.43,42.42,Electronics,5,Pending,Web,South,P-75,SKU-415,44.81,4.66,17.92,New,Debit Card
ORD-20036,CUST-8015,SESS-25036,CART-22036,2023-11-10,388.20,182.30,17.29,Beauty,5,Shipped,Web,International,P-228,SKU-4056,77.64,6.49,31.06,New,Debit Card
ORD-20037,CUST-8015,SESS-25037,CART-22037,2023-01-03,430.14,163.91,49.65,Sports,4,Cancelled,Affiliate,North,P-859,SKU-4956,107.53,0.84,34.41,New,Crypto
ORD-20038,CUST-8016,SESS-25038,CART-22038,2026-02-19,128.00,64.96,10.86,Beauty,3,Shipped,Affiliate,West,P-747,SKU-3069,42.67,15.82,10.24,New,Debit Card
ORD-20039,CUST-8016,SESS-25039,CART-22039,2023-03-15,39.22,11.91,25.60,Home,1,Completed,Social Media,International,P-131,SKU-2745,39.22,7.38,3.14,VIP,Crypto
ORD-20040,CUST-8017,SESS-25040,CART-22040,2023-11-01,233.24,103.70,22.84,Electronics,3,Cancelled,Web,West,P-961,SKU-611,77.75,13.70,18.66,New,Credit Card
ORD-20041,CUST-8017,SESS-25041,CART-22041,2023-06-16,293.86,149.21,12.60,Sports,3,Cancelled,Mobile App,East,P-915,SKU-656,97.95,12.61,23.51,Returning,Debit Card
ORD-20042,CUST-8017,SESS-25042,CART-22042,2025-04-20,396.32,214.02,3.50,Fashion,2,Returned,Social Media,West,P-337,SKU-3404,198.16,1.07,31.71,VIP,Debit Card
ORD-20043,CUST-8018,SESS-25043,CART-22043,2025-10-22,253.73,117.18,4.66,Home,5,Cancelled,Mobile App,West,P-457,SKU-4398,50.75,5.00,20.30,New,Credit Card
ORD-20044,CUST-8018,SESS-25044,CART-22044,2024-07-21,503.80,290.81,34.24,Home,1,Cancelled,Mobile App,South,P-333,SKU-2556,503.80,11.64,40.30,Returning,Debit Card
ORD-20045,CUST-8019,SESS-25045,CART-22045,2025-04-19,385.71,223.41,34.27,Beauty,5,Pending,Web,International,P-306,SKU-3554,77.14,12.78,30.86,Returning,PayPal
ORD-20046,CUST-8019,SESS-25046,CART-22046,2024-01-09,106.51,49.87,49.07,Fashion,5,Cancelled,Web,North,P-570,SKU-1017,21.30,3.53,8.52,New,Credit Card
ORD-20047,CUST-8019,SESS-25047,CART-22047,2023-04-15,38.72,13.21,47.97,Beauty,4,Completed,Web,East,P-766,SKU-4666,9.68,17.48,3.10,Returning,Crypto
ORD-20048,CUST-8020,SESS-25048,CART-22048,2024-07-24,315.52,125.19,20.05,Sports,1,Cancelled,Mobile App,West,P-299,SKU-2459,315.52,0.39,25.24,VIP,Credit Card
ORD-20049,CUST-8020,SESS-25049,CART-22049,2023-06-30,14.94,8.39,39.34,Electronics,2,Returned,Mobile App,International,P-11,SKU-4569,7.47,11.15,1.19,Returning,Credit Card
ORD-20050,CUST-8021,SESS-25050,CART-22050,1769505127744,55.34,28.86,37.73,Home,5,Shipped,Social Media,South,P-120,SKU-4679,11.07,18.13,4.43,VIP,PayPal
ORD-20051,CUST-8021,SESS-25051,CART-22051,2025-03-28,294.78,111.46,28.78,Home,4,Completed,Social Media,International,P-482,SKU-157,73.70,8.34,23.58,VIP,Debit Card
ORD-20052,CUST-8021,SESS-25052,CART-22052,8/20/2025,319.67,125.63,22.26,Sports,5,Cancelled,Mobile App,West,P-572,SKU-2131,63.93,7.09,25.57,New,Crypto
ORD-20053,CUST-8022,SESS-25053,CART-22053,2024-10-06,28.68,14.89,2.49,Sports,4,Shipped,Affiliate,West,P-35,SKU-3235,7.17,3.47,2.29,VIP,PayPal
ORD-20054,CUST-8022,SESS-25054,CART-22054,2025-11-10,230.79,119.94,4.09,Beauty,5,Pending,Social Media,North,P-664,SKU-4830,46.16,13.67,18.46,VIP,Credit Card
ORD-20055,CUST-8023,SESS-25055,CART-22055,2024-01-02,28.17,9.96,40.31,Sports,3,Returned,Affiliate,North,P-414,SKU-2808,9.39,17.07,2.25,Returning,PayPal
ORD-20056,CUST-8023,SESS-25056,CART-22056,2023-06-27,353.22,207.18,1.14,Home,1,Pending,Mobile App,South,P-405,SKU-2616,353.22,1.42,28.26,New,Credit Card
ORD-20057,CUST-8023,SESS-25057,CART-22057,2026-01-15,212.77,67.44,45.15,Fashion,1,Completed,Web,West,P-894,SKU-1825,212.77,8.41,17.02,Returning,PayPal
ORD-20058,CUST-8024,SESS-25058,CART-22058,2023-03-19,429.51,185.77,0.15,Fashion,4,Completed,Social Media,North,P-511,SKU-1051,107.38,2.06,34.36,VIP,Debit Card
ORD-20059,CUST-8024,SESS-25059,CART-22059,2024-07-13,419.95,184.94,12.49,Fashion,5,Pending,Web,International,P-761,SKU-4355,83.99,13.36,33.60,New,Debit Card
ORD-20060,CUST-8025,SESS-25060,CART-22060,2025-11-15,,255.76,48.62,Electronics,3,Returned,Affiliate,International,P-34,SKU-1907,144.84,17.95,34.76,Returning,Debit Card
ORD-20061,CUST-8025,SESS-25061,CART-22061,2023-08-02,332.96,198.73,1.01,Electronics,3,Completed,Web,East,P-550,SKU-786,110.99,15.92,26.64,Returning,Credit Card
ORD-20062,CUST-8025,SESS-25062,CART-22062,12/4/2025,300.38,131.32,7.94,  beauty  ,4,Returned,Mobile App,International,P-368,SKU-4786,75.10,15.54,24.03,VIP,PayPal
ORD-20063,CUST-8026,SESS-25063,CART-22063,2023-02-19,278.31,153.46,36.51,Sports,5,Shipped,Social Media,International,P-990,SKU-2512,55.66,5.88,22.26,Returning,Crypto
ORD-20064,CUST-8026,SESS-25064,CART-22064,2024-05-07,21.16,6.36,46.41,Fashion,4,Completed,Mobile App,North,P-523,SKU-293,5.29,8.42,1.69,Returning,Credit Card
ORD-20065,CUST-8027,SESS-25065,CART-22065,2023-09-11,484.27,281.70,34.99,Beauty,1,Cancelled,Social Media,West,P-189,SKU-2517,484.27,11.68,38.74,New,Debit Card
ORD-20066,CUST-8027,SESS-25066,CART-22066,2024-01-22,346.93,125.21,41.56,Fashion,4,Pending,Affiliate,North,P-743,SKU-1167,86.73,6.26,27.75,VIP,Crypto
ORD-20067,CUST-8027,SESS-25067,CART-22067,2023-01-07,244.84,142.68,49.94,Sports,3,Completed,Social Media,South,P-337,SKU-2432,81.61,10.97,19.59,VIP,PayPal
ORD-20068,CUST-8028,SESS-25068,CART-22068,2023-11-17,429.45,228.63,39.77,Fashion,2,Completed,Mobile App,South,P-754,SKU-263,214.72,7.48,34.36,New,Debit Card
ORD-20069,CUST-8028,SESS-25069,CART-22069,2024-12-23,52.26,31.18,4.22,Electronics,5,Pending,Web,North,P-955,SKU-12,10.45,1.86,4.18,VIP,Debit Card
ORD-20070,CUST-8029,SESS-25070,CART-22070,2025-10-19,401.12,228.63,48.43,Fashion,4,Shipped,Social Media,South,P-735,SKU-557,100.28,4.49,32.09,VIP,Crypto
ORD-20071,CUST-8029,SESS-25071,CART-22071,2024-02-23,36.03,14.02,24.09,Fashion,2,Pending,Social Media,East,P-569,SKU-4085,18.02,4.17,2.88,Returning,Debit Card
ORD-20072,CUST-8029,SESS-25072,CART-22072,2025-06-21,,59.44,26.41,Fashion,5,Completed,Mobile App,International,P-205,SKU-2135,21.58,19.09,8.63,Returning,Credit Card
ORD-20073,CUST-8030,SESS-25073,CART-22073,2025-04-19,412.38,153.77,44.99,Home,1,Returned,Social Media,East,P-83,SKU-3014,412.38,17.64,32.99,VIP,PayPal
ORD-20074,CUST-8030,SESS-25074,CART-22074,1683113168044,177.18,103.77,46.95,Electronics,2,Pending,Social Media,South,P-273,SKU-328,88.59,17.52,14.17,Returning,PayPal
ORD-20075,CUST-8031,SESS-25075,CART-22075,1759311462227,451.44,203.64,27.17,Electronics,4,Pending,Mobile App,East,P-907,SKU-1574,112.86,3.94,36.12,New,PayPal
