transaction_id,store_id,product_id,timestamp,sales_value,cogs,inventory_level,quantity_sold,received_units,items_in_basket,shrinkage,visitor_count,department,store_location,brand,stock_status,loyalty_id,payment_type,weather_context,is_weekend
TXN-10001,STORE-12,P-51,2024-03-19,148.25,75.05,325,7,7,14,0.00,50,Deli,London,Private Label,Low Stock,L-11001,Mobile Pay,Rainy,TRUE
TXN-10002,STORE-13,P-416,2024-08-03,48.30,31.50,377,7,11,2,0.00,57,Bakery,Paris,Private Label,In Stock,,Card,Rainy,TRUE
TXN-10003,STORE-14,P-74,2026-02-16,44.47,25.93,944,5,9,5,0.00,28,Deli,Berlin,Premium Brand,Out of Stock,,Cash,Sunny,TRUE
TXN-10004,STORE-15,P-270,2026-01-19,29.26,15.93,28,4,7,14,0.00,37,Meat,New York,Premium Brand,Low Stock,,Cash,Snowy,FALSE
TXN-10005,STORE-1,P-459,2026-03-08,149.89,76.52,492,9,13,13,0.00,50,Produce,Paris,Premium Brand,Low Stock,,Card,Rainy,FALSE
TXN-10006,STORE-2,P-395,2024-10-13,22.41,13.94,565,2,3,3,2.11,44,Dairy,London,Private Label,Out of Stock,,Card,Cloudy,FALSE
TXN-10007,STORE-3,P-425,2026-02-14,,85.52,139,4,7,2,0.00,58,Deli,Berlin,Private Label,In Stock,,Card,Rainy,TRUE
TXN-10008,STORE-4,P-354,2025-01-13,47.37,25.59,503,1,4,8,0.00,22,Bakery,Tokyo,Private Label,In Stock,L-11008,Mobile Pay,Cloudy,TRUE
TXN-10009,STORE-5,P-446,2025-07-11,63.68,42.08,761,4,7,10,0.00,50,Bakery,London,Private Label,In Stock,,Card,Sunny,TRUE
TXN-10010,STORE-6,P-226,2026-01-02,94.01,54.88,62,7,9,11,0.00,11,Bakery,Tokyo,National Brand,Out of Stock,L-11010,Card,Rainy,FALSE
TXN-10011,STORE-7,P-317,2024-10-08,2.60,1.56,601,6,10,10,0.00,29,Deli,Paris,Premium Brand,Out of Stock,,Mobile Pay,Cloudy,FALSE
TXN-10012,STORE-8,P-42,1726545343853,111.74,62.50,293,8,8,15,0.00,43,Produce,Berlin,Private Label,In Stock,,Mobile Pay,Cloudy,FALSE
TXN-10013,STORE-9,P-320,2025-08-02,116.76,68.56,781,6,10,10,0.00,15,Dairy,Tokyo,National Brand,Low Stock,L-11013,Mobile Pay,Cloudy,FALSE
TXN-10014,STORE-10,P-196,2024-12-31,149.40,90.96,418,6,10,1,0.00,55,Deli,London,Private Label,In Stock,L-11014,Cash,Rainy,TRUE
TXN-10015,STORE-11,P-459,2025-10-11,99.94,53.89,304,4,8,13,0.00,56,Meat,London,Private Label,In Stock,L-11015,Cash,Snowy,FALSE
TXN-10016,STORE-12,P-142,2025-06-07,26.89,15.38,312,7,10,5,0.00,21,Grocery,London,National Brand,Low Stock,,Card,Sunny,FALSE
TXN-10017,STORE-13,P-309,2025-01-05,31.99,20.09,898,2,2,1,0.00,24,Meat,Berlin,Private Label,Out of Stock,,Card,Sunny,TRUE
TXN-10018,STORE-14,P-294,2024-02-27,10.37,6.98,145,10,14,5,0.00,31,Deli,New York,Private Label,In Stock,L-11018,Mobile Pay,Rainy,FALSE
TXN-10019,STORE-15,P-457,2025-10-05,18.60,10.18,953,9,10,12,0.00,50,Produce,New York,Premium Brand,In Stock,L-11019,Mobile Pay,Snowy,FALSE
TXN-10020,STORE-1,P-282,2024-12-12,140.10,90.10,53,5,5,8,0.00,34,Dairy,Paris,Private Label,Low Stock,,Mobile Pay,Snowy,FALSE
