order_id,order_date,customer_id,product_id,sku,unit_price,cost,quantity,selling_price,order_value,payment_method,order_status,delivery_date,return_status,shipping_address
ORD-3-000000,2023-02-01,24248,1311,SKU-3-1311,14.99,4.5,2,20.9,41.8,UPI,Delivered,2023-02-06,No Return,"Nagpur, Kerala"
ORD-3-000001,2025-11-21,22526,1318,SKU-3-1318,99.99,49.07,4,133.66,534.64,UPI,Delivered,2025-11-29,No Return,"Jaipur, Delhi"
ORD-3-000002,2023-10-15,24754,1332,SKU-3-1332,149.99,84.11,1,157.41,157.41,Debit Card,Shipped,2023-10-19,No Return,"Delhi, Telangana"
ORD-3-000003,2023-11-01,24104,1338,SKU-3-1338,14.99,7.23,1,17.59,17.59,Wallet,Delivered,2023-11-04,No Return,"Mumbai, Maharashtra"
ORD-3-000004,2023-04-16,24472,1301,SKU-3-1301,59.99,33.98,1,84.44,84.44,Debit Card,Confirmed,,No Return,"Jaipur, Tamil Nadu"
ORD-3-000005,2025-04-24,24382,1348,SKU-3-1348,49.99,16.69,3,57.41,172.23,Net Banking,Delivered,2025-05-08,No Return,"Hyderabad, Punjab"
ORD-3-000006,2024-01-24,22455,1304,SKU-3-1304,149.99,64.9,3,206.71,620.13,Net Banking,In Transit,2024-01-27,No Return,"Hyderabad, Kerala"
ORD-3-000007,2024-09-18,24588,1333,SKU-3-1333,39.99,17.45,6,50.17,301.02,Net Banking,Processing,,No Return,"Delhi, Tamil Nadu"
ORD-3-000008,2023-02-25,20611,1316,SKU-3-1316,14.99,7.21,1,17.14,17.14,UPI,Confirmed,,Return Requested,"Delhi, Kerala"
ORD-3-000009,2025-05-21,24094,1334,SKU-3-1334,59.99,20.68,1,60.77,60.77,Credit Card,Delivered,2025-05-27,No Return,"Indore, Uttar Pradesh"
ORD-3-000010,2023-02-21,20601,1308,SKU-3-1308,59.99,32.22,2,67.47,134.94,Credit Card,Delivered,2023-02-24,No Return,"Delhi, Delhi"
ORD-3-000011,2023-12-21,22067,1323,SKU-3-1323,29.99,12.72,7,34.23,239.61,Credit Card,Confirmed,,No Return,"Indore, Punjab"
ORD-3-000012,2023-03-10,23332,1307,SKU-3-1307,14.99,8.29,1,17.39,17.39,Net Banking,Delivered,2023-03-24,No Return,"Ahmedabad, Kerala"
ORD-3-000013,2025-07-04,23247,1332,SKU-3-1332,199.99,92.69,4,260.13,1040.52,Debit Card,Processing,,No Return,"Pune, Telangana"
ORD-3-000014,2023-03-05,20858,1313,SKU-3-1313,9.99,4.64,4,13.61,54.44,Net Banking,In Transit,2023-03-10,No Return,"Hyderabad, Maharashtra"
ORD-3-000015,2023-08-04,21579,1346,SKU-3-1346,19.99,11.77,1,20.23,20.23,UPI,Shipped,2023-08-09,No Return,"Chandigarh, West Bengal"
ORD-3-000016,2024-11-14,21874,1303,SKU-3-1303,74.99,32.69,1,96.09,96.09,Debit Card,Delivered,2024-11-19,Returned,"Mumbai, Rajasthan"
ORD-3-000017,2025-09-11,21474,1345,SKU-3-1345,149.99,78.8,1,156.68,156.68,UPI,In Transit,2025-09-14,No Return,"Surat, Tamil Nadu"
ORD-3-000018,2023-04-24,23384,1342,SKU-3-1342,49.99,27.73,1,56.68,56.68,Net Banking,Delivered,2023-04-27,No Return,"Lucknow, West Bengal"
ORD-3-000019,2025-11-26,21849,1324,SKU-3-1324,59.99,21.9,2,73.44,146.88,Debit Card,Processing,,No Return,"Mumbai, Tamil Nadu"
ORD-3-000020,2025-07-21,24884,1300,SKU-3-1300,74.99,24.06,1,101.19,101.19,UPI,Returned,2025-07-25,No Return,"Chennai, Telangana"
ORD-3-000021,2025-07-18,24053,1318,SKU-3-1318,99.99,39.16,1,146.19,146.19,UPI,Pending,,Return Requested,"Nagpur, Karnataka"
ORD-3-000022,2023-10-13,24938,1339,SKU-3-1339,14.99,8.33,2,17.31,34.62,Net Banking,Delivered,2023-10-17,No Return,"Ahmedabad, Delhi"
ORD-3-000023,2024-11-05,21014,1332,SKU-3-1332,74.99,24.32,2,98.26,196.52,Net Banking,Confirmed,,No Return,"Nagpur, Kerala"
ORD-3-000024,2023-09-03,20613,1314,SKU-3-1314,29.99,16.25,4,38.64,154.56,Debit Card,Processing,,No Return,"Bangalore, Kerala"
ORD-3-000025,2025-06-08,20315,1333,SKU-3-1333,49.99,24.03,2,67.8,135.6,UPI,Pending,,No Return,"Jaipur, Punjab"
ORD-3-000026,2025-01-21,24742,1321,SKU-3-1321,9.99,5.31,1,12.31,12.31,Net Banking,Cancelled,,No Return,"Mumbai, Karnataka"
ORD-3-000027,2025-12-12,22273,1313,SKU-3-1313,14.99,5.03,1,16.92,16.92,Wallet,Delivered,2025-12-15,No Return,"Indore, Uttar Pradesh"
ORD-3-000028,2024-07-27,24006,1322,SKU-3-1322,199.99,86.55,1,249.78,249.78,Credit Card,Shipped,2024-07-28,No Return,"Chennai, Punjab"
ORD-3-000029,2025-08-31,21107,1330,SKU-3-1330,19.99,8.2,4,22.14,88.56,Debit Card,In Transit,2025-09-02,No Return,"Chennai, Delhi"
ORD-3-000030,2025-06-29,23609,1305,SKU-3-1305,59.99,20.89,1,87.09,87.09,Credit Card,Pending,,No Return,"Surat, Gujarat"
ORD-3-000031,2025-11-06,22034,1310,SKU-3-1310,39.99,19.62,1,44.23,44.23,UPI,Confirmed,,No Return,"Delhi, Punjab"
ORD-3-000032,2025-07-31,20828,1309,SKU-3-1309,19.99,8.13,1,28.65,28.65,Wallet,Cancelled,,No Return,"Pune, Kerala"
ORD-3-000033,2023-07-08,23708,1311,SKU-3-1311,9.99,3.86,1,12.12,12.12,Net Banking,In Transit,2023-07-10,No Return,"Hyderabad, Punjab"
ORD-3-000034,2024-03-02,22889,1348,SKU-3-1348,39.99,21.23,1,56.06,56.06,Debit Card,Cancelled,,No Return,"Pune, Karnataka"
ORD-3-000035,2025-01-30,24347,1327,SKU-3-1327,19.99,9.55,1,23.19,23.19,COD,Shipped,2025-02-02,No Return,"Chennai, Maharashtra"
ORD-3-000036,2025-08-06,20015,1310,SKU-3-1310,199.99,64.32,2,239.61,479.22,Debit Card,Returned,2025-08-12,Refunded,"Jaipur, Madhya Pradesh"
ORD-3-000037,2025-12-22,20659,1319,SKU-3-1319,199.99,75.42,1,264.51,264.51,UPI,In Transit,2025-12-25,No Return,"Jaipur, West Bengal"
ORD-3-000038,2024-10-24,22073,1315,SKU-3-1315,49.99,17.84,1,61.84,61.84,Debit Card,Delivered,2024-10-31,No Return,"Nagpur, Delhi"
ORD-3-000039,2023-05-15,24480,1303,SKU-3-1303,299.99,94.77,1,342.61,342.61,Credit Card,In Transit,2023-05-16,No Return,"Chandigarh, Punjab"
ORD-3-000040,2023-03-31,21876,1318,SKU-3-1318,74.99,27.28,2,102.5,205.0,Debit Card,Returned,2023-04-06,No Return,"Pune, Telangana"
ORD-3-000041,2024-03-02,20371,1332,SKU-3-1332,199.99,119.61,1,200.65,200.65,Credit Card,Delivered,2024-03-15,Return Approved,"Bangalore, Telangana"
ORD-3-000042,2023-06-29,21930,1338,SKU-3-1338,59.99,20.53,1,71.72,71.72,Debit Card,Cancelled,,No Return,"Jaipur, Delhi"
ORD-3-000043,2023-01-11,23196,1330,SKU-3-1330,29.99,16.29,4,44.0,176.0,UPI,Confirmed,,No Return,"Hyderabad, Rajasthan"
ORD-3-000044,2025-10-18,24360,1317,SKU-3-1317,49.99,28.03,4,54.57,218.28,Debit Card,Processing,,No Return,"Mumbai, Madhya Pradesh"
ORD-3-000045,2023-08-19,21386,1306,SKU-3-1306,299.99,179.26,1,316.57,316.57,UPI,Cancelled,,No Return,"Kolkata, Rajasthan"
ORD-3-000046,2025-05-30,21242,1332,SKU-3-1332,74.99,35.71,1,102.43,102.43,Debit Card,Shipped,2025-06-04,No Return,"Indore, Punjab"
ORD-3-000047,2024-12-14,22315,1329,SKU-3-1329,19.99,6.47,1,28.33,28.33,Credit Card,Confirmed,,Refunded,"Chennai, Delhi"
ORD-3-000048,2023-09-22,22564,1349,SKU-3-1349,29.99,10.16,4,41.56,166.24,Debit Card,In Transit,2023-09-25,No Return,"Mumbai, Telangana"
ORD-3-000049,2025-08-02,23478,1341,SKU-3-1341,9.99,5.31,1,12.93,12.93,UPI,Shipped,2025-08-03,No Return,"Ahmedabad, Gujarat"
ORD-3-000050,2025-03-05,24078,1328,SKU-3-1328,59.99,28.81,1,60.23,60.23,Credit Card,Delivered,2025-03-10,No Return,"Bangalore, Karnataka"
ORD-3-000051,2025-06-26,21751,1324,SKU-3-1324,199.99,96.27,2,261.91,523.82,UPI,Delivered,2025-06-30,No Return,"Pune, Madhya Pradesh"
ORD-3-000052,2023-10-08,20294,1302,SKU-3-1302,39.99,17.07,1,40.59,40.59,COD,Pending,,No Return,"Kolkata, Kerala"
